snapshot_id,snapshot_date,warehouse_id,product_sku,quantity_on_hand,reserved_qty,available_qty,unit_cost,last_received_date,snapshot_date_raw,last_received_date_raw
SNP200045,,WH102,SKU100559,17,2,15,119.4,,2025-11-10 00:00:00,06/10/2025
SNP200046,,WH103,SKU100038,12,1,11,₹106,,2024/04/01,2024-07-01
SNP200047,,WH107,SKU100054,14,2,12,132.65,,10-Jun-2024,25 Apr 2023
SNP200048,,WH106,SKU100282,13,0,13,129,,28 Apr 2025,2024-01-12
SNP200049,,WH109,SKU100174,18,2,16,₹181,,2025/10/13,25-06-2025 00:00:00
SNP200050,,WH104,SKU100097,18,1,17,218.82,2024-08-06,2025-01-27,2024/08/06
SNP200051,,WH101,SKU100184,19,5,14,98.91,,02/19/2024,27/10/2024
SNP200052,,WH103,SKU100543,18,1,17,173.38,,2025/03/10,17 Mar 2024
SNP200053,,WH108,SKU100132,15,2,13,109,,2024-03-18,
SNP200054,,WH102,SKU100483,24,1,23,44.22,,04/15/2024,10-03-2023 02:43:04
SNP200055,,WH100,SKU100592,19,3,16,35.95,,10-Jun-2024,05/01/2025
SNP200056,,WH104,SKU100079,18,3,13,159.83,,18-Mar-2024,29 Oct 2024
SNP200057,2024-12-23,WH107,SKU100236,15,2,19,38.45,,23/12/2024,22/11/2023
SNP200058,,WH107,SKU100244,15,4,11,108.64,,31-Mar-2025,22 Nov 2025
SNP200059,,WH105,SKU100479,19,0,19,₹218,,2024-05-20 00:00:00,01/24/2025
SNP200060,2024-06-24,WH101,SKU100372,18,2,16,45.44,,24/06/2024,05/18/2025
SNP200061,,WH101,SKU100522,21,2,19,173.3,,2025-07-14,01/02/2025
SNP200062,2024-11-11,WH104,SKU100542,17,2,15,127.15,,11/11/2024,2024-11-13
SNP200063,,WH103,SKU100128,13,2,11,105.97,,05/26/2025,06 Apr 2024
SNP200064,,WH107,SKU100041,15,2,13,88,,09-Dec-2024,05-08-2025 00:44:44
SNP200065,,WH109,SKU100174,23,3,20,₹23,2023-10-22,23-12-2024 00:00:00,2023/10/22
SNP200066,2024-10-28,WH106,SKU100070,21,0,21,19,,28/10/2024,04/09/2024
SNP200067,,WH104,SKU100302,26,0,26,46,,29-Jul-2024,07-01-2023 00:00:00
SNP200068,,WH105,SKU100378,25,3,22,169.2,,2024-02-12,2025-04-05
SNP200069,,WH107,SKU100152,16,4,12,113.33,,01/27/2025,22-01-2025 00:00:00
SNP200070,,WH107,SKU100062,11,1,10,216.52,,04-Nov-2024,21/09/2023
SNP200071,,WH100,SKU100022,18,0,18,19.09,,2025-12-22,31/12/2024
SNP200072,,WH106,SKU100226,20,0,20,96,,01/27/2025,18-Aug-2024
SNP200073,,WH108,SKU100499,16,3,13,220,,03 Mar 2025,2025-03-23
SNP200074,,WH108,SKU100459,10,2,8,78,,01 Dec 2025,05-02-2024 00:00:00
SNP200075,2025-07-14,WH103,SKU100096,0,0,0,₹135,,14/07/2025,2024-04-03
SNP200076,,WH107,SKU100071,11,1,10,12.52,2023-04-25,25-Mar-2024,2023/04/25
SNP200077,,WH100,SKU100109,21,5,16,111,,27-Oct-2025,
SNP200078,,WH107,SKU100256,17,0,17,₹64,,22-Dec-2025,26 Dec 2024
SNP200079,,WH109,SKU100418,16,0,16,29,,2025/01/27,30-Jul-2023
SNP200080,2024-04-15,WH107,SKU100064,16,1,15,₹29,,15/04/2024,03/05/2023
SNP200081,2024-06-10,WH107,SKU100191,15,4,11,210.51,2023-02-20,10/06/2024,2023/02/20
SNP200082,,WH106,SKU100185,24,2,22,₹204,,12/23/2024,01/08/2025
SNP200083,,WH102,SKU100354,17,0,17,279.22,,2025/12/01,14-Dec-2025
SNP200084,2025-03-11,WH102,SKU100200,13,3,10,180.19,,11/03/2025,13-02-2023 00:00:00
SNP200085,,WH103,SKU100393,16,3,13,28.29,,01-Dec-2025,06/19/2025
SNP200086,,WH100,SKU100245,16,0,16,199,,2025/12/15,12/27/2024
SNP200087,2025-02-10,WH106,SKU100371,17,0,17,₹23,,10/02/2025,25-06-2024 00:00:00
SNP200088,,WH101,SKU100468,15,1,14,70,,2025-12-08,06 Nov 2023
SNP200089,,WH101,SKU100445,11,2,9,84.71,2024-03-01,2025/01/20,2024/03/01
SNP200090,,WH100,SKU100483,14,6,8,112,,15-Sep-2025,2025-05-15
SNP200091,,WH108,SKU100235,22,6,16,82,2025-07-15,03 Jun 2024,2025/07/15
SNP200092,2024-01-07,WH106,SKU100069,8,2,6,129,,07/01/2024,31-05-2024 00:00:00
SNP200093,,WH103,SKU100111,12,1,11,₹83,,06 Jan 2025,03/08/2025
SNP200094,,WH101,SKU100496,14,1,13,₹50,,03/17/2025,20-Dec-2023
SNP200095,,WH108,SKU100308,10,1,9,114.59,,02-Dec-2024,2023-08-21
SNP200096,,WH106,SKU100458,20,2,18,85.26,2023-05-08,2025-01-27,2023/05/08
SNP200097,,WH101,SKU100348,21,1,20,115.22,,13-Oct-2025,24 Dec 2025
SNP200098,,WH108,SKU100096,13,6,7,130.72,,2025/04/28,07/18/2024
SNP200099,,WH104,SKU100317,25,1,24,144,,23-06-2025 00:00:00,01/05/2023
SNP200100,,WH102,SKU100535,14,1,13,₹185,,09/15/2025,10 Jun 2024
SNP200101,,WH107,SKU100545,14,0,14,46.35,,10 Mar 2025,2025-03-29
SNP200102,,WH105,SKU100354,14,5,9,143.02,,22-Apr-2024,2025-05-13
SNP200103,,WH102,SKU100234,18,3,15,₹88,,07-Oct-2024,
SNP200104,2024-09-12,WH108,SKU100388,24,1,23,41.52,,12/09/2024,24 Jan 2023
SNP200105,,WH109,SKU100456,22,4,18,₹197,,06/30/2025,06/08/2024
SNP200106,,WH108,SKU100327,9,0,9,195.35,,07-10-2024 00:00:00,01-11-2024 00:00:00
SNP200107,,WH102,SKU100399,17,1,16,106.77,,2025-09-15 00:00:00,
SNP200108,,WH100,SKU100409,23,3,20,141.63,,03/17/2025,2023-03-12
SNP200109,,WH107,SKU100120,20,3,17,176,,03-Jun-2024,
SNP200110,,WH108,SKU100187,21,0,21,117.36,,10-Feb-2025,2023-08-01
SNP200111,,WH107,SKU100278,15,2,13,142.52,,2024-07-01 00:00:00,2024-01-06
SNP200112,,WH107,SKU100038,21,2,19,12.11,,2025/03/10,
SNP200113,,WH107,SKU100023,30,3,27,₹243,,2024/01/01,2025-04-02
SNP200114,2024-10-14,WH103,SKU100032,12,7,5,63.76,,14/10/2024,16-04-2024 00:00:00
SNP200115,,WH101,SKU100587,21,2,19,106,,07 Apr 2025,07/26/2025
SNP200116,,WH108,SKU100095,15,3,17,211.77,,18-11-2024 00:00:00,25 Oct 2025
SNP200117,,WH104,SKU100575,13,2,11,178,,2024-12-02 00:00:00,2024-11-20
SNP200118,,WH103,SKU100599,13,1,12,83,,2024-03-18,2024-01-22
SNP200119,,WH103,SKU100303,15,1,14,145.72,,2025/07/21,05/15/2024
SNP200120,2025-12-05,WH107,SKU100033,13,3,10,5.85,,05/12/2025,13-Oct-2024
SNP200121,,WH102,SKU100089,17,3,14,₹194,,2025-06-16 00:00:00,05/04/2023
SNP200122,,WH106,SKU100499,20,5,15,₹40,,2025/06/02,04/13/2024
SNP200123,2024-04-01,WH102,SKU100460,17,4,13,₹174,,01/04/2024,16-03-2025 00:00:00
SNP200124,,WH107,SKU100232,13,1,12,147,,17-Nov-2025,14-08-2025 00:00:00
SNP200125,,WH103,SKU100335,20,2,18,169.45,,24-Feb-2025,19-03-2023 00:00:00
SNP200126,,WH107,SKU100511,17,3,14,122.65,,2025/03/24,
SNP200127,,WH101,SKU100293,10,3,7,243.08,2023-04-26,2025-10-27,2023/04/26
SNP200128,,WH108,SKU100243,26,2,24,75.23,,07-Oct-2024,04/09/2024
SNP200129,,WH105,SKU100299,14,3,11,140,,2025-09-08 00:00:00,07/03/2024
SNP200130,,WH102,SKU100380,25,0,25,₹241,,2025-10-20 00:00:00,05/23/2024
SNP200131,,WH103,SKU100156,27,3,24,₹63,,02/19/2024,08-May-2025
SNP200132,,WH103,SKU100288,8,2,6,128.19,,27 Jan 2025,08/26/2024
SNP200133,,WH104,SKU100368,12,1,11,58,,07/15/2024,06/10/2025
SNP200134,,WH109,SKU100100,17,1,16,147.75,,09 Jun 2025,09-Sep-2023
SNP200135,,WH108,SKU100139,20,3,17,199.97,,2025-02-24,10/14/2024
SNP200136,,WH104,SKU100552,25,1,24,₹189,2024-05-29,15 Dec 2025,2024/05/29
SNP200137,,WH104,SKU100296,14,0,14,151.22,,02-Dec-2024,30/06/2023
SNP200138,,WH103,SKU100340,21,1,20,65,,2025/01/06,27-Jan-2024
SNP200139,,WH104,SKU100494,11,4,7,81,,24 Jun 2024,24-Jul-2024
SNP200140,,WH106,SKU100559,16,4,12,125.48,,10-Nov-2025,02/10/2025
SNP200141,,WH103,SKU100429,10,4,6,168.32,2023-03-07,2025-12-29 00:00:00,2023/03/07
SNP200142,,WH101,SKU100126,14,0,14,₹88,,17-03-2025 00:00:00,03-Feb-2023
SNP200143,,WH109,SKU100483,18,2,16,109.51,,2025/08/25,18-01-2024 00:00:00
SNP200144,,WH109,SKU100046,15,4,11,₹111,,03/17/2025,20/01/2023
SNP200145,,WH104,SKU100459,24,2,22,201.14,,2024/01/22,29 Nov 2023
SNP200146,2025-04-08,WH105,SKU100509,16,4,12,48.48,,08/04/2025,31-08-2025 00:00:00
SNP200147,,WH104,SKU100299,19,1,18,₹104,,01-Dec-2025,16/08/2023
SNP200148,,WH100,SKU100339,17,2,15,135.1,,2025-02-03 00:00:00,25/11/2025
SNP200149,,WH101,SKU100406,16,4,12,₹254,,2025-09-22 00:00:00,19 Nov 2024
SNP200150,2024-02-12,WH106,SKU100572,15,4,11,98.62,,12/02/2024,
SNP200151,,WH104,SKU100161,24,0,24,168,,01/22/2024,2023-06-10
SNP200152,,WH108,SKU100315,23,1,22,80.46,,29-Jan-2024,02/06/2025
SNP200153,,WH104,SKU100281,17,2,15,₹71,2024-01-19,08-Apr-2024,2024/01/19
SNP200154,,WH101,SKU100202,20,1,19,201,,2025/10/27,01/02/2024
SNP200155,2025-12-22,WH106,SKU100268,16,3,13,117.65,,22/12/2025,10/09/2023
SNP200156,2024-10-21,WH109,SKU100272,21,0,21,262,,21/10/2024,2023-12-11
SNP200157,,WH103,SKU100212,15,1,14,₹91,,2025-10-06 00:00:00,26/06/2025
SNP200158,,WH101,SKU100004,25,4,21,0.41,,2024-08-05,
SNP200159,2025-03-03,WH100,SKU100257,25,6,19,130,,03/03/2025,2023-02-09
SNP200160,,WH109,SKU100096,14,1,13,₹226,,2025-04-28 00:00:00,04-05-2025 00:00:00
SNP200161,,WH101,SKU100231,26,0,26,90.27,,2024/10/21,
SNP200162,2024-04-03,WH108,SKU100255,15,1,14,223.67,,03/04/2024,11-Aug-2023
SNP200163,,WH100,SKU100515,16,2,14,5.75,,2024-01-22,2025-10-31
SNP200164,2025-01-12,WH108,SKU100230,17,4,13,141.76,,12/01/2025,
SNP200165,,WH107,SKU100438,11,0,11,157,,2025-10-27,08/05/2025
SNP200166,2024-07-08,WH108,SKU100398,19,0,19,12,2024-04-11,08/07/2024,2024/04/11
SNP200167,,WH108,SKU100535,28,2,26,₹152,,29-Dec-2025,
SNP200168,,WH107,SKU100141,12,2,10,₹201,,07-Jul-2025,10-03-2023 00:00:00
SNP200169,2024-08-07,WH104,SKU100304,23,1,22,162,,07/08/2024,22/07/2024
SNP200170,,WH106,SKU100141,22,3,19,112.76,,08 Jan 2024,2023-01-07
SNP200171,,WH104,SKU100107,19,5,14,₹230,,2025/12/29,20-Jan-2024
SNP200172,,WH105,SKU100513,11,0,11,184.65,,15-Sep-2025,23-10-2025 22:41:37
SNP200173,2025-10-03,WH102,SKU100335,25,4,21,35.49,,03/10/2025,13/06/2025
SNP200174,2025-07-04,WH102,SKU100349,8,1,7,78.91,2025-09-27,04/07/2025,2025/09/27
SNP200175,,WH107,SKU100285,21,0,21,91,2023-12-10,10 Mar 2025,2023/12/10
SNP200176,,WH104,SKU100326,13,2,11,₹142,,14-Oct-2024,17 Jul 2025
SNP200177,,WH101,SKU100504,19,0,19,8.95,,08-Jan-2024,28/02/2023
SNP200178,,WH102,SKU100059,19,5,14,68,,29 Jan 2024,
SNP200179,,WH100,SKU100237,11,1,10,202.8,2024-12-31,04-Nov-2024,2024/12/31
SNP200180,,WH102,SKU100231,14,6,8,₹19,,17-Nov-2025,13-05-2024 00:00:00
SNP200181,,WH103,SKU100034,13,1,12,14,2025-01-24,2025-01-20,2025/01/24
SNP200182,,WH108,SKU100418,9,2,7,57.26,,2024/08/19,09/12/2025
SNP200183,2025-07-07,WH107,SKU100556,14,2,12,117.65,,07/07/2025,10-Dec-2023
SNP200184,,WH106,SKU100524,20,2,18,233,,2024/04/01,08/01/2024
SNP200185,2025-12-05,WH107,SKU100028,18,2,16,51,,05/12/2025,28-Aug-2024
SNP200186,2025-09-01,WH101,SKU100245,12,2,10,₹78,2025-03-15,01/09/2025,2025/03/15
SNP200187,,WH109,SKU100097,20,5,15,135,,21-10-2024 00:00:00,
SNP200188,,WH106,SKU100410,14,1,13,₹201,,21 Jul 2025,12/06/2024
SNP200189,,WH102,SKU100191,25,0,25,59.89,,05-05-2025 00:00:00,11 May 2025
SNP200190,,WH108,SKU100028,17,1,16,₹179,,2024-08-05 00:00:00,
SNP200191,,WH107,SKU100221,19,3,16,110,,2025-02-10,2025-02-16
SNP200192,,WH106,SKU100353,23,0,23,204.45,,22-12-2025 00:00:00,09/08/2024
SNP200193,,WH109,SKU100109,17,3,14,₹59,,2025/11/24,2024-06-23
SNP200194,,WH104,SKU100446,18,0,18,145.27,,06/30/2025,13 May 2025
SNP200195,,WH109,SKU100022,15,1,14,₹119,,2025-03-24 00:00:00,28 Jan 2023
SNP200196,,WH108,SKU100014,12,2,10,131,,01-09-2025 00:00:00,08 Jun 2025
SNP200197,,WH106,SKU100385,14,2,12,196.35,2024-12-01,2025-01-13,2024/12/01
SNP200198,,WH104,SKU100279,20,1,19,130.43,,23-Sep-2024,
SNP200199,,WH101,SKU100502,17,1,16,122.28,2023-08-01,03 Jun 2024,2023/08/01
SNP200200,,WH101,SKU100480,23,1,22,267.11,,28-Jul-2025,06 Mar 2025
SNP200201,,WH102,SKU100118,18,2,16,234,,2025/05/19,15 Aug 2024
SNP200202,,WH100,SKU100396,11,4,7,78,,05-Aug-2024,
SNP200203,,WH108,SKU100247,15,1,14,₹2,,01-Sep-2025,02/20/2024
SNP200204,,WH107,SKU100088,25,3,22,118.19,,13-May-2024,02/21/2023
SNP200205,2025-09-06,WH102,SKU100198,15,3,12,246,,06/09/2025,05/06/2023
SNP200206,,WH102,SKU100369,18,3,15,210.35,,19-02-2024 00:00:00,2024-11-12
SNP200207,2025-09-29,WH100,SKU100385,8,1,7,124,,29/09/2025,04/09/2024
SNP200208,,WH100,SKU100137,8,3,5,117.37,,10-02-2025 00:00:00,2024-09-15
SNP200209,,WH105,SKU100274,12,1,19,93.28,,2024/01/08,2024-09-06
SNP200210,2024-09-12,WH101,SKU100599,13,5,8,156.19,,12/09/2024,25-Sep-2024
SNP200211,,WH101,SKU100011,23,3,20,282.53,,2025/03/03,
SNP200212,,WH101,SKU100031,21,3,23,37.60,2024-06-30,11/18/2024,2024/06/30
SNP200213,,WH109,SKU100041,25,5,20,₹102,,02/17/2025,05/28/2024
SNP200214,2024-03-11,WH105,SKU100550,14,4,10,105.89,,11/03/2024,
SNP200215,,WH105,SKU100521,18,2,16,294.46,2025-06-17,2025-09-08 00:00:00,2025/06/17
SNP200216,2025-12-15,WH102,SKU100567,15,0,15,₹307,,15/12/2025,
SNP200217,2025-09-15,WH108,SKU100274,14,3,11,130,,15/09/2025,10/23/2024
SNP200218,,WH106,SKU100444,20,4,16,287.06,,08-Apr-2024,20-Oct-2024
SNP200219,,WH109,SKU100432,22,2,20,120.18,,18 Aug 2025,11-02-2025 00:00:00
SNP200220,2024-07-01,WH109,SKU100311,10,2,8,77.85,,01/07/2024,
SNP200221,,WH109,SKU100018,12,1,11,₹103,,11/25/2024,
SNP200222,,WH104,SKU100598,18,1,27,96.93,,02/26/2024,07/11/2024
SNP200223,,WH101,SKU100520,18,2,16,16,,2025-09-15,17/04/2024
SNP200224,,WH104,SKU100588,13,1,12,20,2025-01-07,14-04-2025 00:00:00,2025/01/07
SNP200225,,WH107,SKU100267,13,2,11,19,2024-03-13,26 Aug 2024,2024/03/13
SNP200226,,WH104,SKU100207,-4,0,-4,148.81,,09-Jun-2025,19/10/2023
SNP200227,,WH107,SKU100222,24,2,22,28,2024-07-21,05-08-2024 00:00:00,2024/07/21
SNP200228,2025-02-17,WH101,SKU100359,15,3,12,136.70,,17/02/2025,30 May 2025
SNP200229,,WH105,SKU100126,21,2,19,144.54,2024-09-09,2025-05-19,2024/09/09
SNP200230,,WH103,SKU100406,12,3,9,163,,2024/08/26,12-Dec-2023
SNP200231,,WH106,SKU100424,17,3,14,₹37,,2024-12-30,02/06/2024
SNP200232,,WH106,SKU100448,7,2,5,258.1,,27-01-2025 00:00:00,04/23/2023
SNP200233,,WH109,SKU100106,17,3,16,22.82,,2024-02-12,
SNP200234,,WH107,SKU100239,22,2,18,107,,24 Nov 2025,17-07-2024 00:00:00
SNP200235,,WH104,SKU100132,26,1,25,41.18,,18-03-2024 00:00:00,19-10-2024 00:00:00
SNP200236,,WH102,SKU100317,25,2,23,41,,2025-08-04 00:00:00,07/19/2025
SNP200237,,WH106,SKU100585,21,1,20,165.42,,2025-10-20,
SNP200238,,WH108,SKU100366,15,1,14,101.25,,2025/07/21,31 Jul 2023
SNP200239,2024-03-25,WH100,SKU100097,14,1,13,25,,25/03/2024,2024-10-27
SNP200240,,WH106,SKU100598,23,0,23,₹170,2024-05-23,2024-03-18 00:00:00,2024/05/23
SNP200241,,WH109,SKU100324,26,1,25,85.77,,10/27/2025,
SNP200242,,WH104,SKU100328,18,4,14,132,2025-04-28,13-May-2024,2025/04/28
SNP200243,,WH108,SKU100089,20,3,17,10.94,,05/13/2024,09/13/2023
SNP200244,2025-07-28,WH105,SKU100361,26,1,25,134.9,,28/07/2025,2023-12-25
SNP200245,,WH101,SKU100139,17,1,16,243.76,,13-Oct-2025,07-03-2024 00:00:00
SNP200246,,WH104,SKU100595,27,0,27,154.18,,2024/07/08,27 Aug 2024
SNP200247,,WH101,SKU100108,20,1,19,252.27,2024-05-28,2025-01-27 00:00:00,2024/05/28
SNP200248,2025-01-27,WH100,SKU100373,15,3,12,72.22,,27/01/2025,05/02/2024
SNP200249,,WH104,SKU100498,20,2,18,₹73,,2024-08-26,2023-11-01
SNP200250,,WH100,SKU100356,20,0,20,₹34,,24-Nov-2025,
SNP200251,,WH108,SKU100185,15,2,13,78.62,2024-06-17,2025/09/22,2024/06/17
SNP200252,,WH102,SKU100405,15,0,15,345,,2024/04/01,10-03-2023 00:00:00
SNP200253,,WH108,SKU100364,21,1,20,₹148,,11 Nov 2024,30-11-2023 00:00:00
SNP200254,,WH102,SKU100430,16,2,14,55.93,,31-03-2025 00:00:00,01/01/2025
SNP200255,,WH103,SKU100518,20,0,20,59.56,2023-12-06,2024-07-08,2023/12/06
SNP200256,,WH108,SKU100416,25,0,25,102.73,,20-Jan-2025,08 Aug 2024
SNP200257,,WH108,SKU100243,22,3,19,3,2025-01-18,2024/05/20,2025/01/18
SNP200258,2024-09-02,WH108,SKU100565,12,1,11,275.52,,02/09/2024,2024-10-06
SNP200259,,WH108,SKU100165,13,1,12,₹282,,08-12-2025 00:00:00,01 Jul 2023
SNP200260,,WH104,SKU100180,21,1,20,70.13,,2025-05-05,02-09-2023 00:00:00
SNP200261,,WH104,SKU100162,17,1,16,92.15,2024-03-31,2024/02/05,2024/03/31
SNP200262,,WH106,SKU100419,17,1,16,153.76,,2025/03/31,19-Jul-2023
SNP200263,,WH107,SKU100575,19,2,17,₹2,,28 Oct 2024,07/29/2025
SNP200264,,WH103,SKU100389,17,0,17,305.16,,11/24/2025,
SNP200265,,WH108,SKU100373,25,3,22,177.58,,03/17/2025,
SNP200266,,WH103,SKU100094,14,2,13,13.20,,2024-12-09 00:00:00,2024-05-21
SNP200267,,WH104,SKU100552,13,3,10,158.67,2024-07-21,23-Sep-2024,2024/07/21
SNP200268,,WH106,SKU100015,23,1,22,92,,2024-07-01,05-Sep-2024
SNP200269,2025-05-05,WH109,SKU100105,17,4,13,126,,05/05/2025,04/10/2024
SNP200270,2024-04-03,WH109,SKU100466,20,0,20,46.78,,03/04/2024,26-04-2025 08:54:57
SNP200271,,WH107,SKU100092,15,3,12,78.05,,17-Nov-2025,
SNP200272,,WH109,SKU100101,17,0,17,29,,2024/09/23,18-07-2025 06:43:25
SNP200273,,WH107,SKU100446,13,2,11,35.87,,14-10-2024 00:00:00,01 May 2023
SNP200274,,WH103,SKU100565,11,0,11,₹98,,12 May 2025,20-Jan-2024
SNP200275,2024-11-03,WH109,SKU100267,25,0,25,106,2025-06-06,03/11/2024,2025/06/06
SNP200276,,WH101,SKU100514,8,4,4,88,,04 Aug 2025,2024-12-26
SNP200277,2024-03-25,WH100,SKU100174,15,4,11,70,,25/03/2024,28 Dec 2023
SNP200278,2025-07-07,WH105,SKU100247,17,2,15,13.67,2025-04-06,07/07/2025,2025/04/06
SNP200279,,WH101,SKU100510,12,3,9,100.63,,2025/09/22,02/22/2024
SNP200280,,WH103,SKU100122,15,4,11,166.48,,27-May-2024,
SNP200281,,WH105,SKU100509,24,2,22,14.47,,11 Nov 2024,15/10/2024
SNP200282,,WH101,SKU100259,13,0,13,15,,30-Sep-2024,04/23/2025
SNP200283,,WH106,SKU100195,17,1,16,64.01,,2025-06-02 00:00:00,02 Aug 2025
SNP200284,,WH108,SKU100422,17,2,15,201,,26-05-2025 00:00:00,
SNP200285,,WH108,SKU100481,17,1,16,246.09,,01/22/2024,10-Oct-2024
SNP200286,,WH102,SKU100105,22,3,19,172,2025-06-14,18-Aug-2025,2025/06/14
SNP200287,,WH102,SKU100452,11,2,9,69,,2024-06-24,2024-10-30
SNP200288,,WH107,SKU100221,16,1,15,138.18,2025-05-14,25-11-2024 00:00:00,2025/05/14
SNP200289,,WH102,SKU100101,15,0,15,220.36,,27 Jan 2025,05/31/2024
SNP200290,,WH102,SKU100214,13,2,11,₹101,,2025-06-09 00:00:00,29/03/2023
SNP200291,,WH103,SKU100134,20,1,19,196.11,,08 Apr 2024,10-01-2025 00:00:00
SNP200292,,WH109,SKU100379,22,0,22,₹26,,26 Aug 2024,16/06/2024
SNP200293,,WH103,SKU100297,15,2,13,130,,01-04-2024 00:00:00,03/07/2024
SNP200294,,WH109,SKU100289,9,1,8,107,,28 Oct 2024,2025-12-18
SNP200295,,WH103,SKU100381,26,1,25,226.63,,2024/11/11,24 Sep 2025
SNP200296,,WH105,SKU100006,28,2,26,₹103,,08-Jul-2024,19/06/2025
SNP200297,,WH105,SKU100119,21,1,20,49.28,,23 Jun 2025,
SNP200298,,WH105,SKU100024,15,0,15,149.33,,30-12-2024 00:00:00,31/07/2023
SNP200299,,WH105,SKU100026,7,1,6,₹66,,21 Oct 2024,31/12/2023
SNP200300,,WH108,SKU100515,20,2,18,136,,2025-01-13 00:00:00,25-11-2023 00:00:00
SNP200301,,WH100,SKU100372,27,1,26,124.21,,26-Feb-2024,13-12-2024 00:00:00
SNP200302,2024-01-04,WH107,SKU100135,20,1,19,216.47,,04/01/2024,2023-10-03
SNP200303,,WH103,SKU100163,19,0,19,₹79,,01-07-2024 00:00:00,31-08-2025 00:00:00
