transaction_id,transaction_date,customer_id,store_id,product_sku,quantity,unit_price,total_amount,discount_amount,payment_type,fulfilled_by_warehouse_id,return_flag,promo_code
T1000058,03/11/2024,117937.0,DM0023,SKU100165,45,422.58,19016.1,1233.09,UPI,WH100,N,OLD_PROMO
T1000059,27-Jun-2025,117485.0,DM0093,SKU100156,6,585,3514.08,267.33,UPI,WH108,N,FIRST50
T1000060,2024-10-04,114811.0,DM0130,SKU100042,1,585.41,585.41,37.76,credit,WH107,Y,
T1000061,02-12-2025 00:00:00,119251.0,DM0157,SKU100599,1,438.88,438.88,100.22,cash,WH100,N,
T1000062,12/04/2025,101060.0,DM0108,SKU100105,1,438,438.29,82.6,credit,WH104,N,NEW10
T1000063,21-Jun-2024,117648.0,DM0135,SKU100459,3,738.56,2215.68,377.23,cash,WH104,N,FEST20
T1000064,2024/02/27,114075.0,DM0055,SKU100590,1,1216.03,1403.72,286.66,cash,,N,
T1000065,2025/08/21,104032.0,DM0178,SKU100273,3,411,1234.77,174.22,cash,WH105,N,OLD_PROMO
T1000066,25/12/2024,103846.0,DM0007,SKU100179,2,50.93,101.86,15.23,card,WH101,N,OLD_PROMO
T1000067,2025-06-13,116951.0,DM0080,SKU100006,1,25.44,25.44,7.29,UPI,WH106,N,FIRST50
T1000068,2025/09/24,100737.0,DM0099,SKU100510,1,"1,952",1952.34,557.94,credit,WH100,N,SUMMER5
T1000069,27 Jan 2025,115141.0,DM0034,SKU100106,1,373.4,373.4,99.09,UPI,WH105,N,
T1000070,25 Jul 2025,115448.0,DM0168,SKU100359,5,896.88,4484.4,743.01,UPI,WH103,N,
T1000071,08-01-2024 00:00:00,115270.0,DM0096,SKU100351,2,208.70,417.4,21.61,cash,WH107,N,OLD_PROMO
T1000072,13-Aug-2024,104363.0,DM0049,SKU100589,3,372.81,111843.0,5230.46,credit,WH109,N,SUMMER5
T1000073,31-Mar-2024,108876.0,DM0171,SKU100555,3,629.93,1889.79,141.1,card,WH100,N,OLD_PROMO
T1000074,27 Jan 2024,117402.0,DM0199,SKU100082,1,171,171.29,20.3,UPI,WH102,N,FEST20
T1000075,2024/07/25,119998.0,DM0181,SKU100028,3,35.76,107.28,12.56,credit,WH100,N,
T1000076,2024/09/14,100990.0,DM0110,SKU100114,3,536.03,1608.09,463.08,credit,WH105,Y,NEW10
T1000077,2024-04-24,111193.0,DM0097,SKU100205,1,585,585.12,158.09,card,WH104,N,OLD_PROMO
T1000078,2025/08/08,106862.0,DM0055,SKU100467,2,189,378.42,7.82,UPI,WH108,N,FEST20
T1000079,19/09/2024,118182.0,DM0030,SKU100591,4,350,1402.48,380.84,card,WH105,N,NEW10
T1000080,2024/05/29,118707.0,DM0180,SKU100156,4,596.89,2387.56,225.39,cash,WH104,N,OLD_PROMO
T1000081,14 Nov 2024,104117.0,DM0151,SKU100337,1,799.29,799.29,213.59,cash,WH102,N,SUMMER5
T1000082,2025/06/10,118959.0,DM0186,SKU100574,1,₹170,170.86,47.8,card,WH109,N,OLD_PROMO
T1000083,10-01-2024 00:00:00,107640.0,DM0155,SKU100462,1,627,627.1,33.26,cash,WH108,N,SUMMER5
T1000084,14/03/2024,109585.0,DM0069,UNKNOWN,1,201.33,201.33,17.61,cash,WH102,N,
T1000085,06-Aug-2024,118916.0,DM0101,SKU100495,5,48.05,240.25,50.52,UPI,WH102,Y,NEW10
T1000086,2025-11-01 00:00:00,110305.0,DM0144,SKU100243,1,616.74,616.74,43.72,credit,WH105,N,SUMMER5
T1000087,08/20/2025,100659.0,DM0040,SKU100329,2,75.97,151.94,39.32,cash,WH108,N,
T1000088,2024-07-19,105022.0,DM0197,SKU100374,1,117.54,117.54,19.71,card,WH100,N,
T1000089,2024-04-13 06:33:58,100906.0,DM0141,SKU100185,0,778.99,0.0,0.0,credit,WH105,N,OLD_PROMO
T1000090,02/14/2024,116731.0,DM0051,SKU100129,9,2165.82,19492.38,5414.98,cash,WH108,N,OLD_PROMO
T1000091,17-May-2025,118892.0,DM0174,SKU100207,1,131.77,131.77,9.29,cash,WH109,N,FEST20
T1000092,01/01/2024,113753.0,DM0034,SKU100538,4,"1,251",5004.8,1065.61,UPI,WH105,Y,
T1000093,2024-03-30,110111.0,DM0038,SKU100318,1,605.66,605.66,178.43,credit,WH101,N,SUMMER5
T1000094,01/30/2024,114528.0,DM0124,SKU100361,3,570,1712.79,226.9,credit,WH104,N,OLD_PROMO
T1000095,2025-06-29 00:00:00,112875.0,DM0184,SKU100141,0,₹94,0.0,0.0,cash,WH108,N,OLD_PROMO
T1000096,06/26/2025,106094.0,DM0035,SKU100175,1,776.37,776.37,52.56,cash,WH108,N,OLD_PROMO
T1000097,02-02-2024 00:00:00,104702.0,DM0112,SKU100077,1,53.52,53.52,13.16,credit,WH100,N,NEW10
T1000098,05-Jan-2024,111362.0,DM0078,SKU100228,1,243.85,243.85,11.34,credit,,N,
T1000099,2025/11/30,114550.0,DM0056,SKU100085,2,468.34,936.68,166.96,UPI,WH108,N,SUMMER5
T1000100,19 Oct 2024,102433.0,DM0075,SKU100440,3,62.32,186.96,7.92,cash,WH108,N,SUMMER5
T1000101,2025-09-09 00:00:00,111538.0,DM0147,SKU100431,2,343.96,687.92,205.35,card,WH109,N,SUMMER5
T1000102,2025/05/27,114505.0,DM0034,SKU100181,1,314,314.74,93.05,cash,WH105,N,FEST20
T1000103,01/18/2024,103687.0,DM0161,,1,231.66,231.66,69.14,UPI,,N,NEW10
T1000104,2025-08-16,119923.0,DM0138,SKU100450,3,170.44,511.32,131.98,credit,WH102,N,FIRST50
T1000105,11/15/2025,108699.0,DM0060,SKU100313,1,₹727,727.14,183.79,credit,WH106,N,
T1000106,2024-04-09 00:00:00,111761.0,DM0200,SKU100055,1,884.66,884.66,101.31,credit,WH108,N,NEW10
T1000107,28-05-2024 00:00:00,116392.0,DM0135,SKU100298,1,110,110.23,21.88,UPI,WH102,N,NEW10
T1000108,2024-07-23,103730.0,DM0005,SKU100499,1,1209.73,1209.73,306.1,UPI,WH103,N,OLD_PROMO
T1000109,22/12/2025,111340.0,DM0061,SKU100463,3,26.3,78.9,9.18,card,WH108,N,SUMMER5
T1000110,03-May-2025,102185.0,DM0155,SKU100085,1,514,514.41,139.46,credit,WH101,N,OLD_PROMO
T1000111,22/08/2025,102906.0,DM0018,SKU100093,0,477.92,0.0,0.0,card,WH109,N,FIRST50
T1000112,2025-12-22,112987.0,DM0034,SKU100529,1,1067.57,1067.57,285.96,card,WH106,Y,NEW10
T1000113,2025/01/13,103867.0,DM0196,SKU100395,2,692.58,1385.16,393.83,credit,WH101,N,
T1000114,2025/11/24,119760.0,DM0057,SKU100243,1,₹735,735.65,211.83,UPI,WH109,N,FEST20
T1000115,2024-04-29,100643.0,DM0156,SKU100028,4,32.12,128.48,22.2,cash,WH102,N,
T1000116,10/03/2024,109592.0,DM0145,SKU100331,1,127.61,127.61,14.89,card,WH104,N,NEW10
T1000117,2024/01/01,119231.0,DM0021,SKU100275,7,206.1,1442.7,59.33,card,WH101,N,FEST20
T1000118,19-Jan-2025,104359.0,DM0043,SKU100159,1,276.35,276.35,4.66,cash,WH100,N,FIRST50
T1000119,19/07/2025,105612.0,DM0017,SKU100485,2,187,374.7,84.53,cash,WH103,N,OLD_PROMO
T1000120,06-07-2025 00:00:00,114500.0,DM0114,,1,161.04,161.04,34.51,UPI,WH100,N,NEW10
T1000121,2024-10-27 00:00:00,108878.0,DM0025,SKU100342,3,28.08,84.24,7.6,cash,WH106,N,NEW10
T1000122,2024/12/07,107487.0,DM0009,SKU100481,1,159.73,159.73,22.91,credit,WH104,N,NEW10
T1000123,01/26/2025,109977.0,DM0082,SKU100079,2,₹233,467.64,38.07,credit,WH107,N,
T1000124,2024/09/06,117270.0,DM0118,SKU100343,2,269,539.36,61.33,card,WH102,N,
T1000125,22-Aug-2025,100202.0,DM0174,SKU100319,1,1202.9,1202.9,248.45,card,WH108,N,
T1000126,30-08-2025 00:00:00,117633.0,DM0098,SKU100244,1,561.03,561.03,49.51,card,WH100,N,
T1000127,18-05-2025 00:00:00,103332.0,DM0188,SKU100380,2,97.09,246.74,58.74,cash,WH103,N,
T1000128,2025-04-13,119891.0,DM0103,SKU100506,1,₹184,184.42,31.42,card,WH103,N,
T1000129,11 Jun 2024,101706.0,DM0023,SKU100216,3,274.06,822.18,101.18,credit,WH108,N,
T1000130,2024-01-19,116310.0,DM0108,SKU100482,5,209.69,1048.45,156.46,card,WH105,N,FIRST50
T1000131,23 Dec 2025,104924.0,DM0099,SKU100197,1,₹195,195.0,45.39,credit,WH103,N,OLD_PROMO
T1000132,2025-12-12,118310.0,DM0077,SKU100286,1,₹77,77.95,12.51,cash,WH109,N,
T1000133,21-07-2024 00:00:00,112453.0,DM0137,SKU100312,1,553,553.09,94.51,credit,WH107,N,NEW10
T1000134,01/24/2025,107949.0,DM0127,SKU100014,2,₹40,80.82,14.17,UPI,WH109,N,SUMMER5
T1000135,15 Jan 2025,107019.0,DM0090,SKU100375,3,608.36,1825.08,384.92,card,WH106,N,OLD_PROMO
T1000136,12/18/2024,104886.0,DM0193,SKU100168,2,1050.62,2101.24,345.95,UPI,WH101,N,
T1000137,2025-09-04,111291.0,DM0165,SKU100196,2,832.0,1664.0,218.14,credit,WH107,N,FEST20
T1000138,06/27/2024,106772.0,DM0189,SKU100506,1,191.01,191.01,45.23,cash,WH100,N,OLD_PROMO
T1000139,09/08/2024,108168.0,DM0133,SKU100112,2,₹172,345.42,24.24,credit,WH107,N,FEST20
T1000140,29-04-2024 00:00:00,112584.0,DM0073,SKU100075,2,561.01,1122.02,78.89,cash,WH109,N,NEW10
T1000141,20/09/2025,108243.0,DM0081,SKU100193,2,814.76,1629.52,249.63,credit,WH108,N,
T1000142,04/02/2025,106509.0,DM0191,SKU100594,1,744.8,744.8,84.83,UPI,WH105,N,OLD_PROMO
T1000143,03/23/2025,110921.0,DM0071,SKU100370,5,340.5,1702.5,66.13,credit,WH107,N,OLD_PROMO
T1000144,20 Aug 2025,107439.0,DM0183,SKU100576,2,158.44,316.88,40.91,card,WH104,N,
T1000145,2025-08-02,105326.0,DM0195,SKU100225,3,22.94,68.82,3.32,cash,WH102,N,SUMMER5
T1000146,30 Nov 2025,116780.0,DM0146,SKU100579,1,166.87,166.87,0.98,cash,WH103,N,OLD_PROMO
T1000147,21/12/2025,115816.0,DM0124,SKU100168,1,1044.24,1044.24,293.08,UPI,WH105,N,
T1000148,09/02/2024,104650.0,DM0195,SKU100122,20,338.79,6775.8,1475.66,UPI,WH105,N,OLD_PROMO
T1000149,26-Oct-2024,109317.0,DM0185,SKU100481,1,136.81,136.81,38.43,card,WH107,N,FIRST50
T1000150,10 Dec 2024,113883.0,DM0088,SKU100266,1,38.78,38.78,9.88,UPI,WH109,N,SUMMER5
T1000151,07 Jul 2024,103074.0,DM0179,SKU100472,4,446.2,1784.8,241.63,UPI,WH108,N,NEW10
T1000152,03 Sep 2024,105968.0,DM0021,SKU100524,1,₹507,507.4,23.25,card,WH102,N,NEW10
T1000153,07-Nov-2025,119726.0,DM0126,SKU100443,1,120.85,134.55,12.19,credit,WH103,N,FEST20
T1000154,21/11/2024,102288.0,DM0146,SKU100216,3,275.86,827.58,52.57,UPI,WH104,N,
T1000155,2025/02/15,113596.0,DM0050,SKU100504,3,182.25,546.75,126.99,UPI,WH105,N,
T1000156,30-06-2025 00:00:00,109222.0,DM0198,SKU100316,4,675.11,2700.44,225.88,cash,WH100,N,FIRST50
T1000157,08/29/2024,104249.0,DM0030,SKU100579,2,131.45,210.7,9.83,cash,WH104,Y,
T1000158,2024/08/08,103789.0,DM0074,SKU100016,1,87.38,87.38,16.77,cash,WH100,N,NEW10
T1000159,2024-07-13,111029.0,DM0156,SKU100288,1,1331.48,1331.48,5.88,credit,WH106,N,
T1000160,2024/09/17,119566.0,DM0133,SKU100090,1,538,538.81,150.32,card,WH101,N,NEW10
T1000161,09 Dec 2025,105220.0,DM0019,SKU100386,2,293.64,587.28,83.37,card,WH106,N,
T1000162,2024/05/04,111556.0,DM0128,SKU100281,10,410.98,4109.8,972.15,UPI,WH103,N,
T1000163,04-Aug-2025,111671.0,DM0011,SKU100038,3,37.13,111.39,17.93,cash,WH101,N,OLD_PROMO
T1000164,2025/09/26,105873.0,DM0071,SKU100581,1,₹401,401.88,0.53,cash,WH102,N,FIRST50
T1000165,05/31/2024,104502.0,DM0093,,3,268.15,804.45,35.34,UPI,WH107,N,FEST20
T1000166,03/23/2024,112928.0,DM0069,SKU100289,3,830.78,2492.34,620.81,cash,WH103,N,FEST20
T1000167,09/16/2024,108389.0,DM0174,SKU100086,1,523.12,523.12,144.62,card,WH100,N,OLD_PROMO
T1000168,26-04-2025 00:00:00,108327.0,DM0122,SKU100224,2,1101.21,2202.42,273.39,UPI,WH109,N,FEST20
T1000169,2024/04/11,101400.0,DM0038,SKU100158,1,1569.90,1569.9,245.4,UPI,WH105,N,FEST20
T1000170,2024/07/31,118269.0,DM0044,SKU100411,2,₹661,1322.0,61.49,cash,WH108,N,SUMMER5
T1000171,06-Nov-2025,108997.0,DM0044,SKU100017,0,105.98,0.0,0.0,credit,WH107,N,
T1000172,2025-06-19,106910.0,DM0180,SKU100019,1,336.58,336.58,28.91,UPI,WH108,N,OLD_PROMO
T1000173,2025/05/26,100351.0,DM0134,SKU100452,2,608.71,1217.42,177.87,UPI,WH108,N,OLD_PROMO
T1000174,07-Apr-2024,101822.0,DM0050,SKU100314,2,73.05,146.1,32.09,cash,WH103,N,
T1000175,2025-02-01,103212.0,DM0173,SKU100188,3,₹628,1886.37,294.59,cash,WH107,N,SUMMER5
T1000176,2024-03-17,102676.0,DM0180,SKU100362,3,1640.64,4921.92,800.97,cash,WH106,N,FEST20
T1000177,03-Apr-2025,119066.0,DM0191,SKU100057,1,99.59,87.54,25.28,cash,WH108,N,
T1000178,15-09-2024 23:52:24,103596.0,DM0056,SKU100428,1,₹436,436.52,125.78,card,WH105,N,
T1000179,2024-08-04 00:00:00,105057.0,DM0071,SKU100504,3,156.08,468.24,126.95,credit,WH100,N,FIRST50
T1000180,07/03/2025,115415.0,DM0072,SKU100561,4,1070.02,4280.08,298.18,cash,WH104,N,FEST20
T1000181,02-12-2025 00:00:00,115008.0,DM0164,SKU100341,2,1354.58,2709.16,570.67,cash,WH103,N,
T1000182,09-Jul-2024,115552.0,DM0188,SKU100382,1,1463.72,1463.72,251.65,UPI,WH103,Y,
T1000183,2024-04-11 00:00:00,118964.0,DM0045,SKU100059,1,₹322,322.32,43.26,UPI,WH103,N,NEW10
T1000184,04-08-2025 00:00:00,103606.0,DM0079,SKU100565,4,592.47,2369.88,79.74,UPI,WH103,N,
T1000185,07/09/2025,102178.0,DM0088,SKU100425,3,315,945.63,221.13,credit,WH105,N,FEST20
T1000186,2025/03/19,105130.0,DM0013,SKU100415,1,359,359.7,70.83,card,WH104,N,FEST20
T1000187,04/13/2025,109602.0,DM0119,SKU100424,1,₹348,348.07,69.04,credit,WH106,N,FEST20
T1000188,05-03-2024 00:00:00,109415.0,DM0198,SKU100108,1,604.55,604.55,150.79,UPI,WH106,N,SUMMER5
T1000189,07/27/2025,119811.0,DM0141,SKU100325,2,171.67,343.34,66.32,UPI,WH100,N,
T1000190,09 Jul 2025,115834.0,DM0046,SKU100186,2,881.93,1763.86,338.02,UPI,WH101,N,NEW10
T1000191,28-12-2024 00:00:00,112658.0,DM0151,SKU100515,2,₹962,1924.92,162.46,credit,WH106,N,
T1000192,05/11/2025,102197.0,DM0007,SKU100288,3,1341.74,4025.22,836.16,cash,WH102,N,
T1000193,2024-08-24,106749.0,DM0095,SKU100421,3,183.27,549.81,19.77,card,WH108,N,NEW10
T1000194,21 Jun 2024,119959.0,DM0148,SKU100592,2,121.58,228.14,19.78,UPI,WH101,N,SUMMER5
T1000195,13-07-2024 00:00:00,109108.0,DM0062,SKU100568,3,797,2391.6,601.84,credit,WH104,N,
T1000196,2024-02-13,106450.0,DM0129,SKU100373,2,380.29,760.58,210.22,cash,WH103,N,SUMMER5
T1000197,25 Apr 2024,103201.0,DM0083,SKU100052,1,989.1,989.1,89.03,UPI,WH105,N,
T1000198,2025-03-04,119547.0,DM0008,SKU100260,1,1055.61,1055.61,290.77,UPI,WH105,N,
T1000199,03/29/2024,108839.0,DM0099,SKU100588,0,753.27,0.0,0.0,card,WH105,Y,SUMMER5
T1000200,02 Jul 2024,112208.0,DM0114,SKU100410,1,537.5,537.5,119.14,UPI,WH102,N,
T1000201,2025-03-11,108818.0,DM0094,SKU100301,3,179.4,454.01,107.1,cash,WH100,N,SUMMER5
T1000202,2025-03-06 00:00:00,110210.0,DM0078,SKU100492,1,95.99,95.99,26.09,card,WH104,N,NEW10
T1000203,28 Feb 2024,108752.0,DM0089,SKU100488,3,418.74,1256.22,318.84,cash,WH107,N,SUMMER5
T1000204,11/13/2024,110459.0,DM0056,SKU100241,1,544.05,544.05,61.35,cash,WH104,N,NEW10
T1000205,02 Feb 2025,106944.0,DM0104,SKU100422,1,33.07,33.07,8.82,credit,WH101,N,FIRST50
T1000206,30/08/2024,118455.0,DM0102,SKU100198,20,609.34,12186.8,3186.58,UPI,WH100,N,OLD_PROMO
T1000207,30/04/2025,115689.0,DM0076,SKU100468,1,1050.0,1050.0,240.98,UPI,WH107,N,FEST20
T1000208,2024-05-22,118281.0,DM0032,SKU100029,1,826.87,826.87,146.45,card,WH105,N,
T1000209,26/06/2025,103238.0,DM0195,SKU100307,1,461.01,461.01,111.61,cash,WH104,N,
T1000210,2024-01-22,104631.0,DM0055,SKU100318,1,490.63,490.63,13.09,card,WH108,N,SUMMER5
T1000211,16 Mar 2024,104508.0,DM0175,SKU100040,1,660.87,660.87,169.63,UPI,WH101,N,FIRST50
T1000212,22/11/2025,112281.0,DM0186,SKU100576,4,103.48,413.92,75.49,card,WH104,N,
T1000213,05-Sep-2024,113801.0,DM0073,SKU100206,6,116.65,699.9,31.09,card,WH107,N,SUMMER5
T1000214,08-07-2025 00:00:00,116468.0,DM0084,,2,₹230,461.04,127.82,cash,WH109,N,FEST20
T1000215,17/08/2025,100968.0,DM0152,SKU100184,3,591,1774.56,464.62,credit,WH106,Y,
T1000216,2024/11/16,108290.0,DM0018,SKU100230,2,409.43,818.86,171.68,card,WH106,N,
T1000217,16/11/2025,106855.0,DM0111,SKU100125,1,951.65,951.65,85.28,credit,WH100,N,
T1000218,18-01-2025 10:13:35,106524.0,DM0059,SKU100040,3,939.95,2819.85,165.29,card,WH106,N,NEW10
T1000219,07-Nov-2024,114165.0,DM0077,SKU100453,2,494.17,988.34,222.71,UPI,WH107,N,NEW10
T1000220,20/09/2024,109829.0,DM0075,SKU100216,1,281,281.43,70.48,credit,WH105,N,OLD_PROMO
T1000221,17/10/2024,110406.0,DM0091,SKU100268,6,194.49,1166.94,273.05,cash,WH101,N,
T1000222,2024-03-21,110286.0,DM0078,SKU100521,1,448.67,448.67,130.81,cash,WH108,N,FEST20
T1000223,04 Dec 2025,119260.0,DM0154,SKU100509,1,₹322,322.73,71.19,card,WH105,N,
T1000224,22-07-2025 00:00:00,109072.0,DM0044,SKU100172,1,₹410,410.91,68.2,credit,WH105,N,SUMMER5
T1000225,01/13/2024,116123.0,DM0101,SKU100280,3,539.75,1619.25,96.93,UPI,WH109,N,NEW10
T1000226,2025/02/21,102214.0,DM0005,SKU100293,2,171.33,342.66,12.03,card,WH102,N,
T1000227,2024-06-21,116174.0,DM0033,SKU100568,2,912.45,1824.9,28.24,credit,WH104,N,
T1000228,29-11-2025 00:00:00,115795.0,DM0111,SKU100022,4,642.37,2569.48,511.02,credit,WH106,Y,NEW10
T1000229,2025/05/14,104654.0,DM0030,SKU100059,8,515.91,4127.28,775.16,cash,WH109,N,OLD_PROMO
T1000230,2025-09-16,102817.0,DM0062,SKU100352,1,436.37,436.37,1.34,cash,WH102,N,NEW10
T1000231,2024/09/19,111721.0,DM0107,SKU100290,1,383.49,383.49,66.4,credit,WH102,N,
T1000232,2025-10-27,117893.0,DM0129,SKU100305,2,626.87,1253.74,290.62,card,WH101,N,
T1000233,2024-11-18 00:00:00,111386.0,DM0086,SKU100161,3,519.0,1557.0,155.7,cash,WH100,N,
T1000234,21 Apr 2025,111667.0,DM0127,SKU100326,5,508.18,2540.9,639.87,card,WH103,N,
T1000235,2025/06/20,115108.0,DM0058,SKU100060,4,421,1874.38,300.98,UPI,WH109,N,OLD_PROMO
T1000236,18/01/2025,108080.0,DM0142,SKU100242,1,295.58,295.58,7.02,credit,WH100,N,NEW10
T1000237,12/05/2025,103279.0,DM0092,SKU100113,1,₹757,757.54,42.15,card,WH103,N,SUMMER5
T1000238,24/08/2025,108946.0,DM0011,SKU100151,3,818.14,2454.42,729.09,card,WH101,N,OLD_PROMO
T1000239,08-01-2024 00:00:00,107118.0,DM0186,SKU100078,2,573,1147.68,191.07,UPI,WH108,N,NEW10
