return_id,original_transaction_id,return_date,customer_id,product_sku,return_reason,refund_amount,refund_method,return_date_raw
R300042,T1157204,2024-09-30,112878.0,SKU100495,wrong item,196.69,UPI,30/09/2024
R300043,T1045387,,110323.0,SKU100404,quality,148.84,card,2024-11-14
R300044,T1191958,2025-03-11,116201.0,SKU100491,damaged,232.58,cash,11/03/2025
R300045,T1180332,2024-11-02,118102.0,SKU100339,quality,157.47,cash,02/11/2024
R300046,T1065899,2025-02-05,109433.0,SKU100591,wrong item,226.13,card,05/02/2025
R300047,T1002009,,101151.0,SKU100243,damaged,334.28,card,2024/10/20
R300048,T1083102,,115146.0,SKU100222,other,246.64,card,04/22/2024
R300049,T1082909,2025-07-11,114512.0,SKU100511,other,74.41,cash,11/07/2025
R300050,T1114451,2024-08-15,118183.0,SKU100319,wrong item,1.12,card,15/08/2024
R300051,T1007266,,113427.0,SKU100325,other,21.93,UPI,2025-04-09
R300052,T1194340,,116203.0,SKU100330,wrong item,111.74,card,03/23/2024
R300053,T1006742,,107655.0,SKU100169,other,35.05,card,2024/11/15
R300054,T1095546,2025-09-19,103410.0,SKU100317,wrong item,180.38,card,19/09/2025
R300055,T1196993,,119629.0,SKU100552,quality,191.3,card,30-Sep-2024
R300056,T1038325,,103942.0,SKU100150,other,148.22,card,25-09-2024 00:00:00
R300057,T1145114,,119922.0,SKU100546,wrong item,102.06,cash,08/13/2025
R300058,T1133716,,105629.0,SKU100254,wrong item,275.71,card,29-Jul-2024
R300059,T1153468,,110875.0,SKU100122,other,130.88,UPI,01-06-2025 00:00:00
R300060,T1083013,2024-02-10,100262.0,SKU100590,quality,22.92,card,10/02/2024
R300061,T1003993,,102975.0,SKU100589,damaged,148.61,card,2024-11-20
R300062,T1168168,,108713.0,SKU100534,other,117.89,cash,04/19/2024
R300063,T1138110,,116199.0,SKU100146,other,128.47,card,01-11-2025 00:00:00
R300064,T1087353,,116550.0,SKU100572,other,120.43,card,2025-04-14
R300065,T1098212,,102443.0,SKU100320,other,351.77,UPI,19-06-2025 00:00:00
R300066,T1099489,,100224.0,SKU100326,other,185.25,card,06/24/2024
R300067,T1131598,,114859.0,SKU100422,wrong item,4.23,cash,04/26/2025
R300068,T1143612,,105705.0,SKU100485,damaged,378.31,cash,13 Apr 2024
R300069,T1163123,,112151.0,SKU100146,wrong item,254.63,card,22 May 2024
R300070,T1041690,,116945.0,SKU100193,other,73.87,cash,01/19/2024
R300071,T1196838,2025-01-01,112994.0,SKU100554,other,325.87,cash,01/01/2025
R300072,T1017005,2024-09-04,115476.0,SKU100037,quality,42.91,card,04/09/2024
R300073,T1191327,2025-02-27,102453.0,SKU100502,other,239.62,UPI,27/02/2025
R300074,T1153201,2024-10-08,115174.0,SKU100344,damaged,222.52,card,08/10/2024
R300075,T10000074,2025-07-24,107531.0,SKU100196,other,62.39,card,24/07/2025
R300076,T1114401,,106445.0,SKU100580,damaged,228.08,cash,2025-08-19
R300077,T1138642,,100649.0,SKU100010,wrong item,75.3,cash,20-Dec-2024
R300078,T1016030,,103341.0,SKU100250,wrong item,83.62,card,2025/03/03
R300079,T1061050,2024-03-10,104327.0,SKU100493,damaged,401.75,cash,10/03/2024
R300080,T1015405,,119092.0,SKU100047,other,196.12,cash,21-Oct-2025
R300081,T1014569,,118627.0,SKU100127,quality,16.37,UPI,2024/06/19
R300082,T1041541,,104387.0,SKU100062,quality,293.93,cash,13-Oct-2025
R300083,T1044775,,104118.0,SKU100336,quality,144.28,card,06-03-2025 00:00:00
R300084,T1108196,2025-11-25,107997.0,SKU100125,quality,85.85,cash,25/11/2025
R300085,T1045615,,117709.0,SKU100559,wrong item,15.41,UPI,2025/05/19
R300086,T1011433,,119566.0,SKU100287,quality,140.85,cash,05/17/2025
R300087,T1068091,,118146.0,SKU100039,other,162.85,card,04-08-2024 00:00:00
R300088,T1009641,,114696.0,SKU100071,wrong item,334.48,UPI,11/23/2024
R300089,T1045796,,105396.0,SKU100221,wrong item,30.6,UPI,13 Nov 2025
R300090,T1064891,,119035.0,SKU100423,wrong item,153.76,UPI,2025-08-16
R300091,T1032640,,111808.0,SKU100279,quality,200.97,UPI,14-12-2025 00:00:00
R300092,T1173608,2025-09-02,105482.0,SKU100146,other,194.01,cash,02/09/2025
R300093,T1064106,2024-08-08,103350.0,SKU100386,wrong item,285.85,cash,08/08/2024
R300094,T1107598,,117791.0,SKU100072,other,96.74,UPI,26-09-2025 00:00:00
R300095,T1132499,,103061.0,SKU100577,wrong item,103.81,cash,2025-03-23
R300096,T1040355,2024-11-27,105350.0,SKU100447,quality,247.57,card,27/11/2024
R300097,T1026472,2024-11-13,101446.0,SKU100526,wrong item,433.96,UPI,13/11/2024
R300098,T1106027,,100194.0,SKU100435,quality,50.79,UPI,22-Apr-2024
R300099,T1095430,,114165.0,SKU100475,other,139.62,UPI,27-Feb-2024
R300100,T1026127,,107042.0,SKU100090,wrong item,96.51,UPI,21 Jan 2024
R300101,T1118481,2025-01-05,114644.0,SKU100326,wrong item,72.61,cash,05/01/2025
R300102,T1093252,2024-07-08,115891.0,SKU100091,wrong item,276.89,cash,08/07/2024
R300103,T1122914,,106498.0,SKU100484,wrong item,130.02,cash,2025-11-23
R300104,T1095173,,108214.0,SKU100413,other,6.6,UPI,02 Aug 2024
R300105,T1017370,,112514.0,SKU100083,quality,184.71,card,2024-06-30
R300106,T1076092,,119859.0,SKU100133,damaged,228.23,UPI,2024-08-25
R300107,T1118588,2025-03-04,119522.0,SKU100591,damaged,214.78,card,04/03/2025
R300108,T1089112,,115114.0,SKU100397,damaged,390.92,card,2025/03/31
R300109,T1128232,,105807.0,SKU100252,wrong item,250.1,card,27-11-2025 00:00:00
R300110,T10000109,,114141.0,SKU100058,other,176.62,cash,18 Mar 2024
R300111,T1147806,2024-06-04,117134.0,SKU100582,other,40.76,cash,04/06/2024
R300112,T1001198,,100367.0,SKU100237,damaged,218.54,UPI,2025-09-06
R300113,T1102606,,102322.0,SKU100453,other,159.93,UPI,2025/10/29
R300114,T1079208,,109991.0,SKU100478,wrong item,107.51,cash,22-Oct-2025
R300115,T1032390,,113240.0,SKU100168,wrong item,259.14,cash,09-09-2024 00:00:00
R300116,T1050490,,111183.0,SKU100231,wrong item,123.06,card,2025-11-10
R300117,T1105818,2024-08-07,113545.0,SKU100573,wrong item,291.34,UPI,07/08/2024
R300118,T1134110,,103022.0,SKU100137,damaged,342.62,card,2025/03/20
R300119,T1158126,,103976.0,SKU100418,other,127.86,UPI,2025/10/27
R300120,T1014715,2025-01-15,103727.0,SKU100187,wrong item,45.14,cash,15/01/2025
R300121,T1150569,,106053.0,SKU100257,damaged,357.23,cash,10/29/2024
R300122,T1086880,,118073.0,SKU100376,quality,118.8,cash,07-Dec-2024
R300123,T1165935,,111396.0,SKU100246,quality,261.66,UPI,03-Apr-2024
R300124,T1155097,,109486.0,SKU100377,quality,176.21,UPI,09 Jul 2025
R300125,T1110950,,111558.0,SKU100321,quality,172.93,card,08-05-2024 00:00:00
R300126,T1177841,,116746.0,SKU100269,other,245.66,card,05-01-2024 00:00:00
R300127,T1079830,,118396.0,SKU100061,wrong item,63.59,card,2025/06/03
R300128,T1058915,2025-10-20,103300.0,SKU100312,damaged,7.57,cash,20/10/2025
R300129,T1041848,,107352.0,SKU100387,other,269.79,UPI,2025/07/27
R300130,T1118483,,108762.0,SKU100515,other,208.85,card,2025/03/09
R300131,T1167624,,100059.0,SKU100062,quality,161.53,UPI,04/28/2024
R300132,T1123269,,103582.0,SKU100100,damaged,64.14,cash,08-Apr-2024
R300133,T1038289,,102752.0,SKU100299,quality,35.58,UPI,17 Mar 2024
R300134,T1024255,,104333.0,SKU100410,other,174.45,cash,2024-07-05
R300135,T1170239,2025-05-12,106675.0,SKU100436,quality,190.35,cash,12/05/2025
R300136,T1133536,,101280.0,SKU100321,quality,194.89,UPI,05/31/2024
R300137,T1190871,,118156.0,SKU100297,other,232.33,card,02/17/2025
R300138,T1165166,2024-12-24,113325.0,SKU100358,wrong item,134.01,UPI,24/12/2024
R300139,T10000138,,107553.0,SKU100184,wrong item,316.04,card,25-Dec-2025
R300140,T1027367,,102813.0,SKU100498,wrong item,319.92,cash,2024-05-10
R300141,T1049670,,115806.0,SKU100019,other,224.62,card,2024-10-21
R300142,T1127967,,101666.0,SKU100382,wrong item,175.9,cash,13 Feb 2025
R300143,T1039131,,103685.0,SKU100171,damaged,234.57,cash,29-May-2024
R300144,T1056534,,113045.0,SKU100524,damaged,238.6,card,2024-01-22
R300145,T1197900,,110146.0,SKU100425,other,167.13,UPI,2024-09-26
R300146,T1022084,,103516.0,SKU100248,damaged,48.98,UPI,09/16/2025
R300147,T1153787,2025-01-06,108759.0,SKU100207,damaged,425.31,cash,06/01/2025
R300148,T1134353,2025-02-27,115695.0,SKU100027,wrong item,321.86,UPI,27/02/2025
R300149,T1127390,,116127.0,SKU100176,damaged,361.85,cash,17-01-2024 00:00:00
R300150,T1029350,2025-05-27,112391.0,SKU100031,damaged,204.34,UPI,27/05/2025
R300151,T1111025,2025-03-06,114499.0,SKU100418,damaged,159.0,UPI,06/03/2025
R300152,T1016669,,114333.0,SKU100476,wrong item,27.74,UPI,12/24/2024
R300153,T1052929,,102860.0,SKU100414,damaged,48.45,cash,2025-05-11
R300154,T1098779,,115838.0,SKU100209,quality,404.05,cash,08/25/2024
R300155,T1158277,2025-12-28,108332.0,SKU100055,damaged,28.1,cash,28/12/2025
R300156,T1132937,,119347.0,SKU100236,wrong item,246.12,UPI,11/27/2024
R300157,T1063130,2024-12-23,117391.0,SKU100059,other,43.46,card,23/12/2024
R300158,T1131782,,106519.0,SKU100445,wrong item,29.05,card,29-05-2024 00:00:00
R300159,T1146413,,113155.0,SKU100293,other,358.96,UPI,21-Aug-2024
R300160,T1197818,,103426.0,SKU100521,wrong item,58.98,cash,28-08-2025 16:35:47
R300161,T1167137,2024-07-31,105583.0,SKU100254,wrong item,11.92,card,31/07/2024
R300162,T1119947,,117643.0,SKU100172,quality,161.12,cash,2024/05/19
R300163,T1011372,,112539.0,SKU100532,damaged,65.21,UPI,01-06-2025 00:00:00
R300164,T1004878,2024-11-17,114643.0,SKU100390,other,176.89,card,17/11/2024
R300165,T1020314,,104489.0,SKU100066,other,192.33,card,31-May-2024
R300166,T1198054,,108405.0,SKU100295,wrong item,0.35,card,2024-12-24
R300167,T1016157,,107724.0,SKU100566,other,263.99,cash,2024-08-25
R300168,T1127526,,115054.0,SKU100306,other,264.12,UPI,10-Oct-2024
R300169,T1079375,,109036.0,SKU100155,other,28.7,cash,12-Apr-2024
R300170,T1152752,,116954.0,SKU100213,quality,250.31,card,2024/10/20
R300171,T1075612,,104928.0,SKU100579,quality,225.65,cash,11 Oct 2024
R300172,T1081605,,105428.0,SKU100239,damaged,145.82,UPI,2024/01/21
R300173,T1165525,,116540.0,SKU100199,wrong item,223.67,card,05/17/2024
R300174,T1044431,,108910.0,SKU100546,quality,53.95,UPI,2025/10/06
R300175,T1109083,,110841.0,SKU100523,other,113.06,UPI,2025/08/05
R300176,T1052649,,112299.0,SKU100440,wrong item,246.92,cash,09/17/2024
R300177,T1192477,,112709.0,SKU100003,wrong item,181.23,card,2024/11/23
R300178,T1054514,,113338.0,SKU100519,other,12.44,card,04/16/2024
R300179,T1001460,,106176.0,SKU100458,damaged,149.17,UPI,2024-12-04
R300180,T10000179,,107921.0,SKU100091,wrong item,127.65,card,11 Apr 2025
R300181,T1105744,,106341.0,SKU100397,wrong item,232.22,cash,21-Jul-2025
R300182,T1092220,,113926.0,SKU100115,damaged,257.43,cash,30-Apr-2024
R300183,T1167242,2024-10-16,101221.0,SKU100221,other,75.28,cash,16/10/2024
R300184,T1175675,,108866.0,SKU100087,other,119.37,UPI,10-Jan-2024
R300185,T1022241,2025-09-27,102201.0,SKU100449,damaged,239.55,card,27/09/2025
R300186,T1057378,2025-01-25,106594.0,SKU100129,wrong item,246.88,card,25/01/2025
R300187,T1037207,,105752.0,SKU100138,wrong item,121.15,card,2025/08/13
R300188,T1177088,,111254.0,SKU100047,wrong item,225.55,card,2025-06-24
R300189,T1069616,,100383.0,SKU100227,damaged,22.4,card,27 Apr 2025
R300190,T1054540,,111938.0,SKU100458,damaged,179.26,card,2025-11-06
R300191,T1010612,2025-01-21,101582.0,SKU100100,quality,90.14,card,21/01/2025
R300192,T10000191,,115854.0,SKU100009,other,147.57,UPI,10 Aug 2024
R300193,T10000192,,108246.0,SKU100265,wrong item,210.91,cash,11-Aug-2024
R300194,T1158724,,106643.0,SKU100157,quality,276.54,UPI,02-Oct-2025
R300195,T1018167,,104764.0,SKU100263,wrong item,296.61,UPI,26 Jan 2025
R300196,T1049419,,103086.0,SKU100428,wrong item,10.86,UPI,2024-07-22
R300197,T1109284,,118379.0,SKU100217,other,353.16,UPI,20-Feb-2024
R300198,T1079965,,111549.0,SKU100341,damaged,120.79,card,05-Jun-2025
R300199,T1195485,,115716.0,SKU100410,wrong item,209.39,UPI,11/17/2024
R300200,T1163510,,119592.0,SKU100469,damaged,248.47,UPI,13-09-2024 00:00:00
R300201,T1104599,,118907.0,SKU100319,damaged,231.87,UPI,2024/02/18
R300202,T1184445,,103731.0,SKU100085,damaged,16.13,UPI,07-03-2025 00:00:00
R300203,T1025760,,107216.0,SKU100121,wrong item,179.17,UPI,07-08-2024 00:00:00
R300204,T1079739,,111988.0,SKU100374,wrong item,35.73,UPI,2024-07-25
R300205,T1193241,2025-02-11,113964.0,SKU100137,other,236.57,cash,11/02/2025
R300206,T1120162,,112048.0,SKU100223,wrong item,25.57,UPI,25-10-2024 00:00:00
R300207,T1088497,,115752.0,SKU100444,damaged,91.73,card,2025/12/14
R300208,T1028016,,113475.0,SKU100193,damaged,38.89,UPI,12-01-2024 08:11:51
R300209,T1153435,,119232.0,SKU100543,damaged,78.48,UPI,19 Aug 2024
R300210,T1029541,,111000.0,SKU100257,damaged,54.67,cash,06-08-2024 00:00:00
R300211,T1103262,2024-08-17,118733.0,SKU100233,quality,28.04,UPI,17/08/2024
R300212,T1136812,,100168.0,SKU100476,wrong item,186.31,card,05/23/2024
R300213,T1070145,,114583.0,SKU100065,other,248.89,cash,11 Jul 2025
R300214,T1137664,,119622.0,SKU100059,damaged,352.26,UPI,2025/10/11
R300215,T1168081,,105542.0,SKU100520,damaged,283.36,UPI,2024-08-06
R300216,T1062366,,103980.0,SKU100137,wrong item,118.4,cash,2024/04/16
R300217,T1176014,,119272.0,SKU100342,other,52.04,card,07 Oct 2025
R300218,T1033065,2025-11-11,116272.0,SKU100381,quality,234.03,UPI,11/11/2025
R300219,T1139126,2025-02-03,116260.0,SKU100024,damaged,228.51,card,03/02/2025
R300220,T1144559,,109001.0,SKU100242,damaged,277.49,card,02-06-2024 10:37:18
R300221,T1169603,,114993.0,SKU100173,damaged,58.59,cash,13 Jul 2024
R300222,T1139265,2025-02-08,101874.0,SKU100181,damaged,352.34,UPI,08/02/2025
R300223,T1085345,,107704.0,SKU100195,damaged,218.92,cash,21-12-2024 12:05:01
R300224,T1105992,2025-07-31,,SKU100385,other,183.23,card,31/07/2025
R300225,T1127751,2025-03-07,117015.0,SKU100191,wrong item,248.62,card,07/03/2025
R300226,T1072158,,114574.0,SKU100373,damaged,251.92,cash,03/13/2025
R300227,T1157156,,108378.0,SKU100541,quality,125.34,UPI,2025/11/26
R300228,T1112897,,109026.0,SKU100484,damaged,96.69,UPI,21-01-2024 00:00:00
R300229,T1033524,,116716.0,SKU100054,other,246.0,cash,2025/05/24
R300230,T1147050,,106730.0,SKU100324,damaged,438.51,card,2024/08/31
R300231,T1033304,,118115.0,SKU100596,damaged,265.56,cash,22 Oct 2025
R300232,T1051560,,103236.0,SKU100026,damaged,102.39,cash,2025-04-12
R300233,T1026244,2025-12-25,110135.0,SKU100149,quality,335.32,cash,25/12/2025
R300234,T1120684,2024-06-02,110151.0,SKU100434,other,84.48,cash,02/06/2024
R300235,T1152296,,114301.0,SKU100532,damaged,363.59,card,2024-07-29
R300236,T1182711,,100050.0,SKU100550,other,113.12,cash,2024-12-08
R300237,T10000236,,102640.0,SKU100396,damaged,324.72,card,19-Oct-2024
R300238,T1106359,2024-11-19,107873.0,SKU100429,other,215.44,card,19/11/2024
R300239,T1137703,,105978.0,SKU100380,wrong item,204.89,card,2025/04/10
R300240,T10000239,,104104.0,SKU100077,damaged,250.02,cash,2025-01-06
R300241,T1030798,,,SKU100517,damaged,8.73,cash,29 May 2024
R300242,T1103168,2024-03-17,104378.0,SKU100256,wrong item,184.25,cash,17/03/2024
R300243,T1054388,,118290.0,SKU100575,quality,201.65,card,19 Nov 2025
R300244,T1079306,2024-10-11,116967.0,SKU100179,damaged,160.97,card,11/10/2024
R300245,T1137166,,114986.0,SKU100058,quality,218.08,cash,03-May-2025
R300246,T1191147,,101025.0,SKU100403,damaged,299.93,card,13-09-2025 00:00:00
R300247,T1168670,,111672.0,SKU100141,wrong item,103.25,card,13 May 2025
R300248,T1026219,,107470.0,SKU100248,wrong item,188.43,UPI,23-Aug-2025
R300249,T1032675,,112409.0,SKU100502,wrong item,325.16,card,07 Aug 2025
R300250,T1078824,,107472.0,SKU100176,wrong item,207.45,cash,2024/10/16
R300251,T1190374,2024-06-02,108129.0,SKU100300,wrong item,200.85,card,02/06/2024
R300252,T1038794,,102829.0,SKU100186,other,277.48,UPI,09 Feb 2025
R300253,T1136640,,110549.0,SKU100047,wrong item,88.64,cash,07-11-2025 14:06:39
R300254,T1043469,2025-05-04,117162.0,SKU100193,other,229.05,UPI,04/05/2025
R300255,T1112702,,119560.0,SKU100546,wrong item,232.85,card,31-Mar-2024
R300256,T1145802,,101481.0,SKU100253,quality,109.96,cash,07-08-2025 00:00:00
R300257,T1023777,,113277.0,SKU100100,damaged,19.52,cash,02-03-2024 00:00:00
R300258,T1110355,,117214.0,SKU100069,other,266.93,UPI,29-09-2025 00:00:00
R300259,T1111657,,106357.0,SKU100349,other,189.11,card,16-Jan-2025
R300260,T1137675,,115550.0,SKU100184,other,64.03,UPI,2025/04/05
R300261,T1045648,,113262.0,SKU100440,wrong item,315.74,UPI,2025-12-14
R300262,T1093631,,119176.0,SKU100152,other,76.05,UPI,25-Feb-2024
R300263,T1140023,,102265.0,SKU100563,other,277.66,card,26 Jun 2024
R300264,T1165808,,106625.0,SKU100175,other,17.21,UPI,2024/05/10
R300265,T1167247,,115731.0,SKU100365,wrong item,111.19,cash,2024/11/24
R300266,T1052965,2024-01-24,118601.0,SKU100244,damaged,201.53,UPI,24/01/2024
R300267,T1182390,,104295.0,SKU100248,quality,198.15,card,2025-12-26
R300268,T10000267,,114194.0,SKU100569,wrong item,107.83,cash,21 Jul 2025
R300269,T1098793,2024-09-06,102238.0,SKU100589,other,63.64,cash,06/09/2024
R300270,T1170531,,115070.0,SKU100216,wrong item,10.67,card,09-Oct-2025
R300271,T1008312,2025-07-10,115127.0,SKU100544,quality,204.76,UPI,10/07/2025
R300272,T1126516,,100340.0,SKU100441,other,54.42,cash,2024/11/02
R300273,T1159294,,118740.0,SKU100046,quality,228.52,card,2025/12/07
R300274,T1055123,2025-04-22,117273.0,SKU100408,other,47.14,cash,22/04/2025
R300275,T1111708,,119049.0,SKU100089,wrong item,129.25,card,17 Jul 2025
R300276,T1107649,,104212.0,SKU100363,other,175.84,card,03/21/2024
R300277,T1106721,,115030.0,SKU100299,quality,34.86,cash,2024/06/25
R300278,T1177133,,106603.0,SKU100174,damaged,184.29,UPI,2025-06-08
R300279,T1065495,,111778.0,SKU100261,damaged,176.08,card,2024-10-26
R300280,T1078537,,101114.0,SKU100026,quality,335.42,card,2024-04-17
R300281,T1168086,,116349.0,SKU100091,quality,134.32,cash,02-Jan-2024
R300282,T1009758,2024-04-24,107657.0,SKU100466,other,76.39,UPI,24/04/2024
R300283,T1090830,,112566.0,SKU100322,damaged,203.92,cash,01-Mar-2024
R300284,T1002848,,110680.0,SKU100454,wrong item,100.47,card,2024/06/08
R300285,T1161267,,108533.0,SKU100207,quality,278.41,UPI,2024-03-06
R300286,T1147035,2025-09-08,101066.0,SKU100543,damaged,1.58,UPI,08/09/2025
R300287,T1051118,,110342.0,SKU100436,other,280.85,card,2025/05/30
R300288,T1193349,,110630.0,SKU100491,quality,29.43,cash,28-Jan-2024
R300289,T1107477,,106467.0,SKU100272,wrong item,38.21,UPI,2024/12/19
R300290,T1022143,2024-10-07,106559.0,SKU100297,other,170.81,UPI,07/10/2024
R300291,T1090417,,101342.0,SKU100023,quality,57.47,UPI,2025/04/18
R300292,T1053578,,111100.0,SKU100248,other,21.9,card,2024-10-24
R300293,T10000292,2024-04-23,115791.0,SKU100378,quality,127.44,card,23/04/2024
R300294,T1181535,,110650.0,SKU100599,damaged,145.6,cash,2025/11/17
R300295,T1091100,2024-07-04,110693.0,SKU100293,damaged,47.5,cash,04/07/2024
R300296,T1112282,,103555.0,SKU100544,other,85.19,card,29-Aug-2024
R300297,T1196419,,114102.0,SKU100387,damaged,73.69,UPI,2024-01-24
R300298,T1182632,,102599.0,SKU100356,damaged,0.76,UPI,02/13/2024
R300299,T1195986,,118068.0,SKU100492,damaged,254.2,cash,2025-12-09
R300300,T1124239,,100089.0,SKU100539,wrong item,146.13,cash,12-Apr-2024
R300301,T1083123,,107913.0,SKU100473,quality,4.46,UPI,2024/03/10
R300302,T10000301,,,SKU100343,other,347.02,card,2024-01-18
R300303,T1089821,,118924.0,SKU100302,wrong item,239.87,UPI,2024-04-17
R300304,T1136496,,109018.0,SKU100218,other,236.94,card,2024/07/24
R300305,T1119690,,112020.0,SKU100584,other,215.32,cash,2025-12-26
R300306,T1076540,2025-02-22,108550.0,SKU100504,wrong item,37.96,UPI,22/02/2025
R300307,T10000306,,115125.0,SKU100056,damaged,79.87,cash,01-May-2024
R300308,T1036948,,106484.0,SKU100326,other,286.74,cash,2025-10-07
R300309,T1067355,2025-11-11,115614.0,SKU100549,wrong item,30.04,UPI,11/11/2025
R300310,T1018569,2024-04-02,115471.0,SKU100173,damaged,155.2,UPI,02/04/2024
R300311,T1025008,,106334.0,SKU100135,other,141.48,card,2025/07/08
R300312,T1076474,,114211.0,SKU100006,other,165.89,UPI,28 Jan 2025
R300313,T1164017,,116252.0,SKU100063,damaged,502.96,UPI,24 Jul 2024
R300314,T1174035,2025-02-01,116941.0,SKU100258,wrong item,242.46,UPI,01/02/2025
R300315,T1032546,,119121.0,SKU100061,wrong item,21.04,cash,20-10-2025 00:00:00
R300316,T1163376,2025-03-04,116336.0,SKU100410,damaged,197.18,cash,04/03/2025
R300317,T1029426,,115166.0,SKU100129,damaged,65.54,cash,15-10-2025 00:00:00
R300318,T1079554,2024-06-11,106595.0,SKU100494,other,41.52,card,11/06/2024
R300319,T1061823,,105633.0,SKU100278,wrong item,239.54,cash,20 Feb 2024
R300320,T10000319,,108824.0,SKU100135,damaged,178.93,UPI,2025-07-05
R300321,T1048128,,100885.0,SKU100585,other,93.63,cash,09 Mar 2024
R300322,T1019698,,114070.0,SKU100153,wrong item,236.79,cash,06-07-2025 00:00:00
R300323,T1009956,2024-06-25,118187.0,SKU100221,other,244.15,card,25/06/2024
R300324,T1092294,,119826.0,SKU100494,other,353.96,cash,2024-11-01
R300325,T1143724,,108608.0,SKU100490,quality,113.66,cash,2024-05-19
R300326,T1035633,,104405.0,SKU100087,damaged,111.32,card,08-10-2024 20:27:57
R300327,T1013297,,102885.0,SKU100130,quality,214.53,card,2025/04/18
R300328,T1096503,,116350.0,SKU100297,quality,63.73,UPI,2025/09/11
R300329,T1153470,,110303.0,SKU100111,other,318.52,UPI,2025/01/27
R300330,T1137194,2025-07-10,102439.0,SKU100420,wrong item,61.28,cash,10/07/2025
R300331,T1000981,,104037.0,SKU100173,other,177.76,UPI,31-07-2025 00:00:00
R300332,T1175929,,118248.0,SKU100311,damaged,3.82,card,23 Oct 2024
R300333,T1133718,2025-09-06,107513.0,SKU100325,wrong item,69.07,cash,06/09/2025
R300334,T1178759,,101825.0,SKU100401,other,302.45,UPI,2025-05-15
R300335,T1136863,,113757.0,SKU100576,other,157.65,UPI,12 Nov 2025
R300336,T1110753,,114289.0,SKU100534,other,140.88,card,09-02-2025 13:36:00
R300337,T1165960,,100565.0,SKU100021,damaged,68.33,cash,03 May 2025
