product_sku,product_name,category,subcategory,brand,mrp,cost_price,unit,weight_g,pack_size,active_flag
SKU100067,GlowPlus Oral Care Classic,Personal Care ,oral care,GlowPlus,273.84,206,pcs,,2,Y
SKU100068,GreenFields Oral Care Classic,personal care,oral care,GreenFields,322.08,,kg,1661.0,6,Y
SKU100069,DailyDelight Oral Care Natural,personal care,oral care,DailyDelight,1764.99,1403.55,g,1777.0,1,Y
SKU100070,PurePlus Utensils Classic,Household ,Utensils ,PurePlus,193.84,126.92,pcs,,4,Y
SKU100071,TechNova Staples Natural,Grocery ,Staples,TechNova,534.48,448.49,g,184.0,10,Y
SKU100072,FreshFarm Hair Care Classic,personal care,Hair Care,FreshFarm,973,744.64,kg,3373.0,1,Y
SKU100073,GreenFields Home Care Natural,Household ,Home Care ,GreenFields,889.95,683.91,l,,4,Y
SKU100074,DmartBasic Skin Care Plus,personal care,Skin Care ,DmartBasic,1296.9,1147.49,l,,1,Y
SKU100075,GreenFields Fresh Vegetables Classic,fruits & veg,Fresh Vegetables,GreenFields,₹608,396.03,l,,6,Y
SKU100076,TasteMax Small Appliances Premium,Electronics,Small Appliances,TasteMax,283.4,226.81,pcs,,4,Y
SKU100077,TechNova Accessories Regular,Electronics,Accessories,TechNova,69.94,48.75,pcs,851.0,6,Y
SKU100078,PurePlus Accessories Plus,Electronics,Accessories ,PurePlus,₹730,593,kg,3861.0,10,Y
SKU100079,FreshFarm Hair Care Natural,Personal Care,Hair Care ,FreshFarm,343.37,₹285,pcs,,2,Y
SKU100080,GreenFields Fresh Fruits Natural,Fruits & Veg ,Fresh Fruits,GreenFields,338.02,268.74,pcs,,4,N
SKU100081,TasteMax Beverages Classic,Grocery ,Beverages ,TasteMax,1161.89,853,l,,2,Y
SKU100082,CleanHome Hair Care Regular,personal care,Hair Care,CleanHome,236.97,189.86,kg,1181.0,2,Y
SKU100083,DailyDelight Utensils Classic,household,Utensils ,DailyDelight,157.44,114.0,pcs,,1,Y
SKU100084,GlowPlus Small Appliances Regular,Electronics ,small appliances,GlowPlus,959.48,,pcs,,10,Y
SKU100085,GreenFields Fresh Fruits Natural,fruits & veg,fresh fruits,GreenFields,501.0,341.87,g,699.0,2,Y
SKU100086,PurePlus Cleaning Plus,Household ,Cleaning ,PurePlus,626.46,540.88,g,1532.0,1,Y
SKU100087,TechNova Fresh Vegetables Regular,Fruits & Veg,fresh vegetables,TechNova,526.72,454.17,l,1603.0,10,Y
SKU100088,PurePlus Hair Care Natural,Personal Care,Hair Care,PurePlus,480.95,358.91,l,,1,Y
SKU100089,TechNova Accessories Natural,electronics,accessories,TechNova,797.81,522.09,g,126.0,6,Y
SKU100090,HomeEase Small Appliances Plus,electronics,Small Appliances,HomeEase,769,₹682,pcs,,1,Y
SKU100091,TechNova Fresh Fruits Natural,Fruits & Veg ,Fresh Fruits ,TechNova,₹586,₹482,l,,1,Y
SKU100092,GreenFields Fresh Fruits Plus,fruits & veg,Fresh Fruits,GreenFields,123.51,,pcs,,2,Y
SKU100093,TechNova Fresh Fruits Premium,Fruits & Veg ,Fresh Fruits,TechNova,561.57,382.37,l,,2,N
SKU100094,TasteMax Small Appliances Plus,Electronics,Small Appliances,TasteMax,438,368.85,l,428.0,10,Y
SKU100095,GlowPlus Fresh Fruits Classic,fruits & veg,Fresh Fruits,GlowPlus,142.74,126.60,pcs,,1,Y
SKU100096,TechNova Utensils Classic,Household ,utensils,TechNova,1615.94,"₹1,078",l,,2,Y
SKU100097,DmratBasic Cleaning Natural,Household,Cleaning ,DmartBasic,583.42,483.24,g,1530.0,6,Y
SKU100098,PurePlus Fresh Vegetables Plus,Fruits & Veg ,Fresh Vegetables ,PurePlus,307,217.36,kg,429.0,6,N
SKU100099,FreshFarm Fresh Fruits Classic,Fruits & Veg ,Fresh Fruits ,FreshFarm,919.61,,pcs,,6,Y
SKU100100,GreenFields Fresh Fruits Classic,Fruits & Veg ,Fresh Fruits ,GreenFields,"1,011",,l,545.0,1,Y
SKU100101,DmartBasic Hair Care Premium,personal care,Hair Care,DmartBasic,622.04,505,g,1669.0,6,Y
SKU100102,DmartBasic Packaged Foods Premium,grocery,packaged foods,DmartBasic,172.26,141.44,l,1109.0,4,Y
SKU100103,GreenFields Small Appliances Classic,Electronics ,small appliances,GreenFields,170.34,₹138,l,,10,Y
SKU100104,PurePlus Hair Care Plus,Personal Care,Hair Care,PurePlus,335.93,274.80,l,881.0,6,Y
SKU100105,DailyDelight Small Appliances Classic,Electronics ,Small Appliances,DailyDelight,587.74,411.26,kg,885.0,10,Y
SKU100106,TasteMax Fresh Fruits Plus,Fruits & Veg,fresh fruits,TasteMax,362.11,240.00,kg,2955.0,10,Y
SKU100107,DailyDelight Fresh Vegetables Plus,Fruits & Veg,Fresh Vegetables ,DailyDelight,1267.53,1103.46,l,,10,Y
SKU100108,TechNova Accessories Natural,electronics,Accessories,TechNova,₹685,502.58,pcs,1710.0,2,Y
SKU100109,HomeEase Oral Care Regular,personal care,Oral Care ,HomeEase,210,170.18,g,1243.0,1,Y
SKU100110,TechNova Packaged Foods Premium,Grocery,Packaged Foods,TechNova,449.99,332.73,pcs,,10,N
SKU100111,GlowPlus Fresh Fruits Classic,fruits & veg,Fresh Fruits ,GlowPlus,756,649.5,g,725.0,10,Y
SKU100112,DailyDelight Fresh Fruits Regular,Fruits & Veg,Fresh Fruits ,DailyDelight,167.28,123.75,g,384.0,10,N
SKU100113,CleanHome Fresh Vegetables Regular,Fruits & Veg,Fresh Vegetables ,CleanHome,920,651.8,kg,2591.0,10,Y
SKU100114,TasteMax Packaged Foods Plus,grocery,Packaged Foods,TasteMax,751.64,598.38,pcs,660.0,4,Y
SKU100115,GlowPlus Accessories Plus,Electronics ,Accessories ,GlowPlus,334.93,263.79,kg,1593.0,6,N
SKU100116,FreshFarm Hair Care Natural,Personal Care,Hair Care,FreshFarm,277.14,214.9,l,1020.0,1,Y
SKU100117,HomeEase Skin Care Plus,personal care,skin care,HomeEase,629.01,427.36,l,,1,Y
SKU100118,DmartBasic Snacks Natural,Grocery,snacks,DmartBasic,554,420.18,pcs,,10,Y
SKU100119,DailyDelight Skin Care Classic,personal care,Skin Care ,DailyDelight,535.57,356.29,g,1225.0,6,Y
SKU100120,HomeEase Accessories Natural,Electronics,accessories,HomeEase,281,190.28,pcs,,10,Y
SKU100121,PurePlus Oral Care Natural,Personal Care ,Oral Care ,PurePlus,518.74,339.79,kg,3065.0,4,N
SKU100122,FreshFarm Fresh Vegetables Plus,Fruits & Veg ,Fresh Vegetables ,FreshFarm,432,₹300,kg,1116.0,6,Y
SKU100123,DailyDelight Packaged Foods Plus,Grocery ,Packaged Foods ,DailyDelight,472.4,400.67,l,,4,Y
SKU100124,TasteMax Oral Care Premium,Personal Care ,Oral Care ,TasteMax,983.39,837.78,pcs,,4,Y
SKU100125,PurePlus Skin Care Classic,personal care,Skin Care ,PurePlus,942.03,712.77,l,1911.0,2,Y
SKU100126,CleanHome Accessories Premium,electronics,accessories,CleanHome,759,526.50,pcs,,10,N
SKU100127,FreshFarm Accessories Premium,Electronics,Accessories,FreshFarm,769.76,691.79,g,843.0,6,Y
SKU100128,DailyDelight Fresh Fruits Premium,Fruits & Veg,Fresh Fruits ,DailyDelight,743.4,₹531,kg,4584.0,2,Y
SKU100129,DmartBasic Hair Care Plus,personal care,Hair Care,DmartBasic,2948.59,2433.77,pcs,,10,Y
SKU100130,FreshFarm Beverages Natural,grocery,beverages,FreshFarm,1083.53,777,g,77.0,4,Y
SKU100131,PurePlus Fresh Vegetables Regular,fruits & veg,fresh vegetables,PurePlus,716.09,572.72,g,981.0,2,Y
SKU100132,GlowPlus Fresh Fruits Premium,fruits & veg,Fresh Fruits ,GlowPlus,204.93,₹150,kg,3405.0,6,Y
SKU100133,TechNova Beverages Regular,Grocery ,Beverages ,TechNova,161.62,120.62,g,982.0,6,N
SKU100134,HomeEase Cleaning Natural,Household ,Cleaning,HomeEase,"₹1,682",1147.15,l,,4,Y
SKU100135,DailyDelight Utensils Classic,Household,Utensils ,DailyDelight,925.89,731.03,l,,10,Y
SKU100136,DmartBasic Small Appliances Regular,Electronics,small appliances,DmartBasic,37.68,30.18,g,1178.0,1,Y
SKU100137,GreenFields Beverages Plus,Grocery ,beverages,GreenFields,"1,046",894.86,l,,6,Y
SKU100138,DailyDelight Packaged Foods Plus,Grocery,Packaged Foods,DailyDelight,169.81,136.14,g,1678.0,1,Y
SKU100139,FreshFarm Small Appliances Classic,electronics,Small Appliances ,FreshFarm,663.71,551.6,kg,355.0,6,N
SKU100140,DmartBasic Packaged Foods Natural,Grocery ,Packaged Foods ,DmartBasic,378.66,302,g,1521.0,1,Y
SKU100141,GlowPlus Hair Care Natural,personal care,Hair Care,GlowPlus,₹128,87,g,856.0,4,Y
SKU100142,GreenFields Oral Care Premium,Personal Care ,Oral Care,GreenFields,1101.73,775.12,l,,4,Y
SKU100143,DailyDelight Accessories Regular,Electronics ,Accessories,DailyDelight,₹425,339.18,g,807.0,4,Y
SKU100144,GreenFields Beverages Premium,Grocery,Beverages ,GreenFields,176.47,129.10,kg,1103.0,10,Y
SKU100145,CleanHome Snacks Plus,Grocery ,snacks,CleanHome,315.37,228.99,l,1127.0,4,Y
SKU100146,TasteMax Accessories Natural,Electronics ,Accessories ,TasteMax,644.77,457.52,g,773.0,6,Y
SKU100147,FreshFarm Small Appliances Plus,electronics,Small Appliances,FreshFarm,792,674.67,g,1024.0,4,Y
SKU100148,DailyDelight Home Care Classic,Household ,home care,DailyDelight,42.20,32.83,kg,2715.0,1,Y
SKU100149,HomeEase Hair Caer Plus,Personal Care ,Hair Care ,HomeEase,132,98.18,l,81.0,10,Y
SKU100150,PurePlus Accessories Regular,electronics,accessories,PurePlus,592.53,397.28,g,424.0,10,Y
SKU100151,CleanHome Fresh Fruits Plus,Fruits & Veg,Fresh Fruits ,CleanHome,1007.42,831.13,kg,3338.0,1,Y
SKU100152,TasteMax Cleaning Classic,household,Cleaning,TasteMax,"1,648",1135.59,pcs,,1,Y
SKU100153,DailyDelight Beverages Premium,Grocery,beverages,DailyDelight,913.19,,pcs,,2,N
SKU100154,CleanHome Home Care Natural,Household,Home Care,CleanHome,954.48,723.81,pcs,,2,Y
SKU100155,HomeEase Oral Care Plus,Personal Care,Oral Care ,HomeEase,136.49,90.26,pcs,,4,Y
SKU100156,PurePlus Fresh Vegetables Premium,fruits & veg,Fresh Vegetables,PurePlus,621.47,439.35,g,1441.0,1,Y
SKU100157,GlowPlus Staples Plus,Grocery,staples,GlowPlus,719.12,567.25,kg,836.0,2,Y
SKU100158,HomeEase Fresh Fruits Classic,Fruits & Veg ,Fresh Fruits,HomeEase,1568.55,1177.18,l,,6,Y
SKU100159,FreshFarm Accessories Plus,electronics,Accessories ,FreshFarm,351.39,₹292,g,173.0,6,Y
SKU100160,TasteMax Fresh Fruits Regular,Fruits & Veg ,Fresh Fruits,TasteMax,1450.95,"1,267",l,,10,Y
SKU100161,HomeEase Skin Care Regular,personal care,skin care,HomeEase,₹519,344.33,pcs,,6,Y
SKU100162,HomeEase Hair Care Plus,Personal Care,hair care,HomeEase,1264.46,"₹1,074",g,1379.0,10,Y
SKU100163,GlowPlus Accessories Natural,Electronics ,Accessories,GlowPlus,700.38,587,l,194.0,10,Y
SKU100164,DailyDelight Oral Care Natural,personal care,oral care,DailyDelight,282,211.99,kg,3891.0,4,Y
SKU100165,PurePlus Staples Natural,grocery,staples,PurePlus,670.95,560,g,919.0,6,Y
SKU100166,FreshFarm Staples Classic,Grocery ,Staples,FreshFarm,449.15,365.12,g,1066.0,4,Y
SKU100167,PurePlus Beverages Regular,Grocery,Beverages,PurePlus,101.24,73.98,g,1056.0,10,Y
SKU100168,DmartBasic Small Appliances Premium,Electronics,Small Appliances ,DmartBasic,"₹1,335",955.66,l,,6,Y
SKU100169,TechNova Utensils Plus,household,Utensils ,TechNova,503.84,428.63,l,,4,N
SKU100170,GlowPlus Home Care Classic,Household,Home Care ,GlowPlus,287,192.91,g,661.0,2,Y
SKU100171,FreshFarm Small Appliances Premium,electronics,Small Appliances,FreshFarm,822,₹639,g,1132.0,6,Y
SKU100172,DailyDelight Utensils Premium,household,Utensils,DailyDelight,444.18,343.64,l,,6,Y
SKU100173,FreshFarm Fresh Vegetables Classic,Fruits & Veg,Fresh Vegetables ,FreshFarm,97.09,68,l,,1,N
SKU100174,GreenFields Accessories Regular,Electronics,Accessories,GreenFields,71,₹62,g,631.0,1,Y
SKU100175,HomeEase Fresh Vegetables Natural,fruits & veg,Fresh Vegetables ,HomeEase,947.38,702.77,g,1580.0,2,Y
SKU100176,HomeEase Skin Care Regular,Personal Care ,skin care,HomeEase,993.89,828.07,kg,851.0,6,Y
SKU100177,GreenFields Home Care Plus,household,home care,GreenFields,598.01,465.03,pcs,782.0,1,Y
SKU100178,PurePlus Fresh Fruits Plus,fruits & veg,fresh fruits,PurePlus,256.04,183.65,pcs,1602.0,6,Y
SKU100179,HomeEase Fresh Fruits Classic,fruits & veg,Fresh Fruits,HomeEase,70.78,48.62,kg,421.0,6,Y
SKU100180,GlowPlus Home Care Classic,household,Home Care ,GlowPlus,315.98,271.82,pcs,,4,Y
SKU100181,PurePlus Utensils Natural,Household ,utensils,PurePlus,459.92,,l,,10,Y
SKU100182,FreshFarm Snacks Regular,Grocery,Snacks ,FreshFarm,780.69,609.39,kg,3708.0,1,Y
SKU100183,DailyDelight Cleaning Plus,Household,Cleaning,DailyDelight,209.95,159.39,g,908.0,2,Y
SKU100184,TechNova Snacks Natural,Grocery ,snacks,TechNova,748.53,493.42,g,533.0,1,Y
SKU100185,HomeEase Home Care Plus,Household ,Home Care,HomeEase,985.45,761.38,pcs,1578.0,2,Y
SKU100186,FreshFarm Skin Care Classic,Personal Care,Skin Care,FreshFarm,1101.77,885.04,l,,2,Y
SKU100187,DailyDelight Small Appliances Natural,Electronics,Small Appliances,DailyDelight,407.56,288.64,l,,10,Y
SKU100188,GreenFields Fresh Vegetables Classic,Fruits & Veg ,Fresh Vegetables ,GreenFields,638.52,481.06,kg,1689.0,6,Y
SKU100189,DmartBasic Cleaning Natural,household,Cleaning ,DmartBasic,268.06,193.81,g,1018.0,4,Y
SKU100190,TechNova Staples Plus,Grocery ,Staples,TechNova,211.7,147.81,kg,1462.0,10,Y
SKU100191,GlowPlus Hair Care Classic,personal care,hair care,GlowPlus,1576.66,1114.17,kg,1296.0,10,Y
SKU100192,DmartBasic Cleaning Regular,Household ,Cleaning ,DmartBasic,1193.96,909.54,l,,2,Y
SKU100193,CleanHome Packaged Foods Regular,Grocery,packaged foods,CleanHome,935.71,653.98,l,,6,Y
SKU100194,HomeEase Fresh Vegetables rPemium,Fruits & Veg ,Fresh Vegetables ,HomeEase,283.91,238.3,l,1563.0,10,Y
SKU100195,DmartBasic Beverages Plus,Grocery,Beverages,DmartBasic,283.63,₹201,pcs,,10,Y
SKU100196,GreenFields Home Care Plus,Household,Home Care,GreenFields,915.07,663.23,kg,2988.0,10,Y
SKU100197,TechNova Skin Care Classic,Personal Care,Skin Care,TechNova,216.64,144.82,pcs,,4,Y
SKU100198,TechNova Small Appliances Classic,Electronics,small appliances,TechNova,632.85,505,g,931.0,6,Y
SKU100199,CleanHome Cleaning Classic,Household,cleaning,CleanHome,56,37.38,kg,3450.0,4,Y
SKU100200,PurePlus Packaged Foods Classic,Grocery,Packaged Foods,PurePlus,424.96,381.19,g,305.0,6,Y
SKU100201,PurePlus Accessories Premium,electronics,Accessories ,PurePlus,33.32,22,pcs,,6,Y
SKU100202,TechNova Accessories Natural,electronics,Accessories ,TechNova,37.52,31.75,pcs,,2,Y
SKU100203,PurePlus Accessories Natural,Electronics ,accessories,PurePlus,₹576,478.7,g,1303.0,10,Y
SKU100204,DailyDelight Oral Care Regular,Personal Care,Oral Care,DailyDelight,699,₹573,kg,1731.0,2,Y
SKU100205,CleanHome Home Care Plus,Household ,home care,CleanHome,₹699,582.82,kg,3867.0,2,N
SKU100206,DmartBasic Oral Care Natural,Personal Care,Oral Care ,DmartBasic,180.87,130.97,g,1148.0,2,Y
SKU100207,DailyDelight Cleaning Regular,Household,Cleaning ,DailyDelight,212.47,165.83,g,1623.0,4,Y
SKU100208,TechNova Hair Care Premium,personal care,Hair Care,TechNova,768.74,556,kg,1815.0,4,Y
SKU100209,CleanHome Fresh Vegetables Premium,Fruits & Veg ,Fresh Vegetables,CleanHome,₹241,177.29,l,,4,Y
SKU100210,TechNova Home Care Premium,household,Home Care,TechNova,280.38,187.78,g,1297.0,1,Y
SKU100211,TasteMax Beverages Classic,grocery,beverages,TasteMax,₹138,124,kg,1882.0,1,Y
SKU100212,PurePlus Fresh Vegetables Regular,fruits & veg,Fresh Vegetables,PurePlus,597.74,414.11,g,367.0,1,Y
SKU100213,PurePlus Accessories Classic,Electronics,Accessories,PurePlus,241,183.94,kg,1822.0,10,Y
SKU100214,CleanHome Hair Care Plus,personal care,Hair Care,CleanHome,254.12,202.71,pcs,630.0,1,Y
SKU100215,HomeEase Oral Care Plus,personal care,Oral Care ,HomeEase,678.45,529.14,g,383.0,4,Y
SKU100216,DailyDelight Hair Care Regular,Personal Care,Hair Care ,DailyDelight,413.84,332,l,,6,Y
SKU100217,TechNova Staples Plus,Grocery,staples,TechNova,₹358,250.55,g,1130.0,6,Y
SKU100218,GreenFields Hair Care Premium,Personal Care ,hair care,GreenFields,376.32,253.75,g,285.0,6,Y
SKU100219,FreshFarm Home Care Natural,Household,Home Care ,FreshFarm,707.44,489.18,kg,618.0,10,Y
SKU100220,PurePlus Fresh Vegetables Regular,Fruits & Veg ,fresh vegetables,PurePlus,"₹1,767",1408.01,kg,4640.0,10,Y
SKU100221,DmartBasic Fresh Vegetables Classic,fruits & veg,fresh vegetables,DmartBasic,₹223,191.67,l,,4,Y
SKU100222,PurePlus Skin Care Plus,personal care,Skin Care ,PurePlus,1603.51,1053.31,pcs,914.0,4,Y
SKU100223,DmartBasic Small Appliances Classic,Electronics,small appliances,DmartBasic,197.60,152.39,pcs,837.0,10,N
SKU100224,CleanHome Beverages Regular,Grocery ,beverages,CleanHome,1092.06,908,l,292.0,1,Y
SKU100225,GlowPlus Hair Care Natural,Personal Care,Hair Care ,GlowPlus,35.67,25.42,pcs,,1,Y
SKU100226,GreenFields Utensils Natural,Household ,Utensils ,GreenFields,524.33,₹404,kg,2476.0,2,Y
SKU100227,GreenFields Skin Care Plus,personal care,Skin Care ,GreenFields,1710.91,"₹1,175",g,960.0,10,N
SKU100228,GlowPlus Fresh Vegetables Regular,Fruits & Veg,Fresh Vegetables ,GlowPlus,320.03,233.27,pcs,1299.0,4,Y
SKU100229,FreshFarm Small Appliances Plus,electronics,Small Appliances ,FreshFarm,732.74,₹527,pcs,,6,Y
SKU100230,DailyDelight Home Care Premium,Household ,Home Care,DailyDelight,632.16,₹468,pcs,,2,Y
SKU100231,PurePlus Oral Care Regular,Personal Care,Oral Care ,PurePlus,1707.13,1441.56,pcs,,4,Y
SKU100232,TasteMax Fresh Fruits Premium,Fruits & Veg ,fresh fruits,TasteMax,1284.66,870.54,l,,6,Y
SKU100233,FreshFarm Utensils Plus,Household,Utensils,FreshFarm,39.58,27,g,661.0,1,Y
SKU100234,GreenFields Fresh Vegetables Regular,Fruits & Veg,Fresh Vegetables ,GreenFields,₹931,744.31,l,,10,Y
SKU100235,CleanHome Packaged Foods Regular,Grocery ,Packaged Foods ,CleanHome,1353.13,983.21,g,250.0,10,N
SKU100236,GreenFields Fresh Vegetables Plus,Fruits & Veg,Fresh Vegetables ,GreenFields,263.08,178.37,pcs,1006.0,2,Y
SKU100237,PurePlus Fresh Fruits Natural,Fruits & Veg ,Fresh Fruits,PurePlus,"1,042",842.88,kg,2001.0,4,Y
SKU100238,GreenFields Small Appliances Plus,Electronics,Small Appliances ,GreenFields,380.59,330.77,g,451.0,1,Y
SKU100239,GlowPlus Fresh Fruits Premium,Fruits & Veg ,fresh fruits,GlowPlus,432.94,377.31,g,1238.0,4,Y
SKU100240,TasteMax Home Care Premium,Household ,Home Care,TasteMax,56.34,,kg,4553.0,10,Y
